feature,keep,ranking
H2A.Z_TSS_bin01,False,3
H2A.Z_TSS_bin02,True,1
H2A.Z_TSS_bin03,True,1
H2A.Z_TSS_bin04,False,3
H2A.Z_TSS_bin05,True,1
H2A.Z_TSS_bin06,True,1
H2A.Z_TSS_bin07,True,1
H2A.Z_TSS_bin08,True,1
H2A.Z_TSS_bin09,True,1
H2A.Z_TSS_bin10,False,3
H2A.Z_TSS_bin11,True,1
H2A.Z_TSS_bin12,False,8
H2A.Z_TSS_bin13,True,1
H2A.Z_TSS_bin14,False,4
H2A.Z_TSS_bin15,False,3
H2A.Z_TSS_bin16,False,3
H2A.Z_TSS_bin17,False,7
H2A.Z_TSS_bin18,False,6
H2A.Z_TSS_bin19,True,1
H2A.Z_TSS_bin20,True,1
H2A.Zac_TSS_bin01,False,8
H2A.Zac_TSS_bin02,False,4
H2A.Zac_TSS_bin03,True,1
H2A.Zac_TSS_bin04,True,1
H2A.Zac_TSS_bin05,True,1
H2A.Zac_TSS_bin06,False,8
H2A.Zac_TSS_bin07,False,4
H2A.Zac_TSS_bin08,False,3
H2A.Zac_TSS_bin09,True,1
H2A.Zac_TSS_bin10,True,1
H2A.Zac_TSS_bin11,True,1
H2A.Zac_TSS_bin12,True,1
H2A.Zac_TSS_bin13,False,5
H2A.Zac_TSS_bin14,False,6
H2A.Zac_TSS_bin15,True,1
H2A.Zac_TSS_bin16,False,5
H2A.Zac_TSS_bin17,True,1
H2A.Zac_TSS_bin18,True,1
H2A.Zac_TSS_bin19,True,1
H2A.Zac_TSS_bin20,True,1
H2B.Z_TSS_bin01,False,3
H2B.Z_TSS_bin02,False,8
H2B.Z_TSS_bin03,False,8
H2B.Z_TSS_bin04,False,7
H2B.Z_TSS_bin05,False,7
H2B.Z_TSS_bin06,True,1
H2B.Z_TSS_bin07,True,1
H2B.Z_TSS_bin08,False,7
H2B.Z_TSS_bin09,False,4
H2B.Z_TSS_bin10,True,1
H2B.Z_TSS_bin11,False,4
H2B.Z_TSS_bin12,True,1
H2B.Z_TSS_bin13,True,1
H2B.Z_TSS_bin14,False,3
H2B.Z_TSS_bin15,False,4
H2B.Z_TSS_bin16,False,6
H2B.Z_TSS_bin17,False,8
H2B.Z_TSS_bin18,False,7
H2B.Z_TSS_bin19,False,4
H2B.Z_TSS_bin20,True,1
H3K18ac_TSS_bin01,False,7
H3K18ac_TSS_bin02,False,8
H3K18ac_TSS_bin03,False,2
H3K18ac_TSS_bin04,True,1
H3K18ac_TSS_bin05,True,1
H3K18ac_TSS_bin06,True,1
H3K18ac_TSS_bin07,True,1
H3K18ac_TSS_bin08,False,8
H3K18ac_TSS_bin09,False,7
H3K18ac_TSS_bin10,True,1
H3K18ac_TSS_bin11,True,1
H3K18ac_TSS_bin12,True,1
H3K18ac_TSS_bin13,False,4
H3K18ac_TSS_bin14,False,4
H3K18ac_TSS_bin15,False,4
H3K18ac_TSS_bin16,False,3
H3K18ac_TSS_bin17,False,5
H3K18ac_TSS_bin18,True,1
H3K18ac_TSS_bin19,False,5
H3K18ac_TSS_bin20,True,1
H3K18me_TSS_bin01,False,7
H3K18me_TSS_bin02,False,2
H3K18me_TSS_bin03,True,1
H3K18me_TSS_bin04,False,8
H3K18me_TSS_bin05,False,5
H3K18me_TSS_bin06,False,7
H3K18me_TSS_bin07,False,8
H3K18me_TSS_bin08,False,8
H3K18me_TSS_bin09,True,1
H3K18me_TSS_bin10,True,1
H3K18me_TSS_bin11,True,1
H3K18me_TSS_bin12,False,5
H3K18me_TSS_bin13,True,1
H3K18me_TSS_bin14,False,4
H3K18me_TSS_bin15,False,3
H3K18me_TSS_bin16,True,1
H3K18me_TSS_bin17,False,6
H3K18me_TSS_bin18,True,1
H3K18me_TSS_bin19,False,4
H3K18me_TSS_bin20,False,4
H3K27ac_TSS_bin01,True,1
H3K27ac_TSS_bin02,True,1
H3K27ac_TSS_bin03,True,1
H3K27ac_TSS_bin04,True,1
H3K27ac_TSS_bin05,True,1
H3K27ac_TSS_bin06,True,1
H3K27ac_TSS_bin07,False,5
H3K27ac_TSS_bin08,True,1
H3K27ac_TSS_bin09,True,1
H3K27ac_TSS_bin10,True,1
H3K27ac_TSS_bin11,True,1
H3K27ac_TSS_bin12,True,1
H3K27ac_TSS_bin13,True,1
H3K27ac_TSS_bin14,False,3
H3K27ac_TSS_bin15,False,2
H3K27ac_TSS_bin16,False,2
H3K27ac_TSS_bin17,False,6
H3K27ac_TSS_bin18,False,2
H3K27ac_TSS_bin19,True,1
H3K27ac_TSS_bin20,False,5
H3K27me_TSS_bin01,False,3
H3K27me_TSS_bin02,False,8
H3K27me_TSS_bin03,True,1
H3K27me_TSS_bin04,False,3
H3K27me_TSS_bin05,False,3
H3K27me_TSS_bin06,True,1
H3K27me_TSS_bin07,True,1
H3K27me_TSS_bin08,False,5
H3K27me_TSS_bin09,False,8
H3K27me_TSS_bin10,False,6
H3K27me_TSS_bin11,False,6
H3K27me_TSS_bin12,True,1
H3K27me_TSS_bin13,False,3
H3K27me_TSS_bin14,False,5
H3K27me_TSS_bin15,False,7
H3K27me_TSS_bin16,True,1
H3K27me_TSS_bin17,False,3
H3K27me_TSS_bin18,False,4
H3K27me_TSS_bin19,False,7
H3K27me_TSS_bin20,False,7
H3K36me3_TSS_bin01,False,6
H3K36me3_TSS_bin02,True,1
H3K36me3_TSS_bin03,False,4
H3K36me3_TSS_bin04,True,1
H3K36me3_TSS_bin05,True,1
H3K36me3_TSS_bin06,True,1
H3K36me3_TSS_bin07,False,7
H3K36me3_TSS_bin08,True,1
H3K36me3_TSS_bin09,False,5
H3K36me3_TSS_bin10,False,2
H3K36me3_TSS_bin11,True,1
H3K36me3_TSS_bin12,False,6
H3K36me3_TSS_bin13,False,4
H3K36me3_TSS_bin14,False,5
H3K36me3_TSS_bin15,False,8
H3K36me3_TSS_bin16,True,1
H3K36me3_TSS_bin17,False,7
H3K36me3_TSS_bin18,False,8
H3K36me3_TSS_bin19,False,5
H3K36me3_TSS_bin20,False,6
H3K4me1_TSS_bin01,False,6
H3K4me1_TSS_bin02,True,1
H3K4me1_TSS_bin03,False,3
H3K4me1_TSS_bin04,False,3
H3K4me1_TSS_bin05,False,7
H3K4me1_TSS_bin06,False,6
H3K4me1_TSS_bin07,False,3
H3K4me1_TSS_bin08,True,1
H3K4me1_TSS_bin09,False,5
H3K4me1_TSS_bin10,False,6
H3K4me1_TSS_bin11,False,8
H3K4me1_TSS_bin12,False,5
H3K4me1_TSS_bin13,False,6
H3K4me1_TSS_bin14,False,7
H3K4me1_TSS_bin15,False,6
H3K4me1_TSS_bin16,True,1
H3K4me1_TSS_bin17,False,8
H3K4me1_TSS_bin18,True,1
H3K4me1_TSS_bin19,False,4
H3K4me1_TSS_bin20,False,4
H3K4me2_TSS_bin01,False,4
H3K4me2_TSS_bin02,False,5
H3K4me2_TSS_bin03,False,8
H3K4me2_TSS_bin04,False,4
H3K4me2_TSS_bin05,False,3
H3K4me2_TSS_bin06,False,8
H3K4me2_TSS_bin07,True,1
H3K4me2_TSS_bin08,False,5
H3K4me2_TSS_bin09,True,1
H3K4me2_TSS_bin10,False,7
H3K4me2_TSS_bin11,False,3
H3K4me2_TSS_bin12,True,1
H3K4me2_TSS_bin13,False,5
H3K4me2_TSS_bin14,True,1
H3K4me2_TSS_bin15,True,1
H3K4me2_TSS_bin16,False,7
H3K4me2_TSS_bin17,True,1
H3K4me2_TSS_bin18,True,1
H3K4me2_TSS_bin19,True,1
H3K4me2_TSS_bin20,True,1
H3K4me3_TSS_bin01,True,1
H3K4me3_TSS_bin02,False,6
H3K4me3_TSS_bin03,False,6
H3K4me3_TSS_bin04,False,5
H3K4me3_TSS_bin05,False,8
H3K4me3_TSS_bin06,False,3
H3K4me3_TSS_bin07,False,5
H3K4me3_TSS_bin08,False,6
H3K4me3_TSS_bin09,True,1
H3K4me3_TSS_bin10,False,7
H3K4me3_TSS_bin11,False,2
H3K4me3_TSS_bin12,False,6
H3K4me3_TSS_bin13,False,6
H3K4me3_TSS_bin14,False,8
H3K4me3_TSS_bin15,False,2
H3K4me3_TSS_bin16,False,6
H3K4me3_TSS_bin17,False,7
H3K4me3_TSS_bin18,False,3
H3K4me3_TSS_bin19,False,4
H3K4me3_TSS_bin20,False,8
H3K4me_TSS_bin01,True,1
H3K4me_TSS_bin02,False,6
H3K4me_TSS_bin03,False,7
H3K4me_TSS_bin04,False,5
H3K4me_TSS_bin05,False,5
H3K4me_TSS_bin06,False,7
H3K4me_TSS_bin07,False,5
H3K4me_TSS_bin08,True,1
H3K4me_TSS_bin09,True,1
H3K4me_TSS_bin10,False,8
H3K4me_TSS_bin11,True,1
H3K4me_TSS_bin12,True,1
H3K4me_TSS_bin13,False,4
H3K4me_TSS_bin14,False,3
H3K4me_TSS_bin15,False,5
H3K4me_TSS_bin16,True,1
H3K4me_TSS_bin17,False,7
H3K4me_TSS_bin18,False,3
H3K4me_TSS_bin19,False,4
H3K4me_TSS_bin20,True,1
H3K9ac_TSS_bin01,False,4
H3K9ac_TSS_bin02,False,3
H3K9ac_TSS_bin03,False,6
H3K9ac_TSS_bin04,False,5
H3K9ac_TSS_bin05,True,1
H3K9ac_TSS_bin06,True,1
H3K9ac_TSS_bin07,True,1
H3K9ac_TSS_bin08,False,3
H3K9ac_TSS_bin09,False,8
H3K9ac_TSS_bin10,True,1
H3K9ac_TSS_bin11,True,1
H3K9ac_TSS_bin12,True,1
