Feature,Importance
H3K4me1_TTS_bin03,0.094213024
H3K4me_TTS_bin04,0.01661874
H2B.Z_TTS_bin03,0.01258499
H3K4me_TTS_bin03,0.012339057
H3K9ac_TTS_bin08,0.010902306
H3K4me_TTS_bin05,0.010888291
H3K4me1_TTS_bin04,0.009727894
H3K9ac_TTS_bin09,0.009498427
H3K4me1_TTS_bin01,0.009147776
H2B.Z_TTS_bin05,0.0090857465
H3K36me3_TTS_bin04,0.008879248
H2B.Z_TTS_bin04,0.00879656
H3K4me_TTS_bin02,0.007972796
H3K36me3_TTS_bin05,0.007200078
H3K4me1_TTS_bin20,0.0071051116
H3_TTS_bin01,0.0070558875
MNase_TTS_bin08,0.006976127
H2B.Z_TTS_bin01,0.0069449237
H3K18me_TTS_bin01,0.006879817
H2A.Z_TTS_bin04,0.0067886505
H3K18me_TTS_bin04,0.0066077113
H3_TTS_bin02,0.006511905
H3K4me_TTS_bin01,0.0062914137
H3_TTS_bin11,0.0060816635
H2B.Z_TTS_bin06,0.0059899497
H2A.Z_TTS_bin02,0.005974623
H3_TTS_bin09,0.0056675295
H3K18me_TTS_bin18,0.005648755
H3K27ac_TTS_bin05,0.0051229713
H3K4me1_TTS_bin02,0.004845717
H3K27me_TTS_bin18,0.0046927654
H3K18me_TTS_bin05,0.0046856212
H2B.Z_TTS_bin02,0.0045083114
H3K27ac_TTS_bin06,0.004467044
MNase_TTS_bin09,0.0044547687
H2A.Zac_TTS_bin04,0.004426141
H3_TTS_bin12,0.004356913
H3_TTS_bin19,0.0042984867
H3K4me3_TTS_bin05,0.004270474
H3K9ac_TTS_bin10,0.0042391806
MNase_TTS_bin11,0.0041946154
H3K4me_TTS_bin10,0.0040009655
H2A.Zac_TTS_bin01,0.0038874345
H3K27ac_TTS_bin08,0.0038788938
H3_TTS_bin10,0.0038754232
H3K4me1_TTS_bin09,0.0038248757
H3K18me_TTS_bin15,0.003793254
H3K4me_TTS_bin18,0.003778623
H3K4me_TTS_bin15,0.0037591762
H3K36me3_TTS_bin02,0.0037450078
H3K4me1_TTS_bin11,0.0037399565
H2A.Zac_TTS_bin12,0.0036980563
MNase_TTS_bin20,0.0036897983
H3K27ac_TTS_bin03,0.0036771344
H3K36me3_TTS_bin19,0.0036493507
H2B.Z_TTS_bin10,0.003594213
H3K4me1_TTS_bin19,0.0035751043
H3K9ac_TTS_bin11,0.0035731653
H3K18me_TTS_bin17,0.0035593985
H3K4me2_TTS_bin05,0.0035315943
H3K9ac_TTS_bin04,0.0034934322
H2B.Z_TTS_bin17,0.0034599188
H2B.Z_TTS_bin07,0.0034072467
H3K18ac_TTS_bin08,0.0033472
H2B.Z_TTS_bin08,0.0033395155
H3K36me3_TTS_bin20,0.0033387975
H3K18me_TTS_bin03,0.0033232567
H3K27ac_TTS_bin02,0.0033049076
H3K27me_TTS_bin09,0.0033026284
H3K4me3_TTS_bin09,0.0032990505
H3K27ac_TTS_bin12,0.0032846783
H3_TTS_bin04,0.0032821689
H3K4me1_TTS_bin13,0.003280211
H3K9ac_TTS_bin12,0.0032606462
H3K36me3_TTS_bin03,0.0032399837
H3K27me_TTS_bin19,0.0032381983
H3K18me_TTS_bin19,0.0032225002
H3K4me1_TTS_bin18,0.0032146657
H3K9ac_TTS_bin03,0.0031911707
MNase_TTS_bin12,0.0031443601
H3K27me_TTS_bin04,0.0031160738
H3K4me3_TTS_bin06,0.0031036108
H3K18me_TTS_bin06,0.0030951449
H3K27ac_TTS_bin04,0.003092669
H3K4me_TTS_bin17,0.0030820004
H3K27ac_TTS_bin20,0.0030628364
H2A.Zac_TTS_bin05,0.0030547625
H3K27me_TTS_bin05,0.0030345826
H3K4me2_TTS_bin09,0.0030119882
H3R17me2_TTS_bin11,0.00297739
H3K18me_TTS_bin02,0.0029186085
H3K18me_TTS_bin16,0.0028885477
H3_TTS_bin13,0.0028838785
H3K27ac_TTS_bin07,0.0028736761
H3_TTS_bin15,0.0028218527
H3K18ac_TTS_bin07,0.0027838806
H3_TTS_bin06,0.002780836
H2B.Z_TTS_bin13,0.0027764305
H3_TTS_bin18,0.0027747008
H3K9ac_TTS_bin05,0.0027583386
