Feature,Importance
H3K4me1_TTS_bin03,0.089460775
H3K4me_TTS_bin04,0.016757881
H3K4me_TTS_bin03,0.013298616
H3K9ac_TTS_bin08,0.012262801
H3K4me_TTS_bin05,0.0120979985
H2B.Z_TTS_bin03,0.011895835
H2B.Z_TTS_bin04,0.011168017
H3K4me1_TTS_bin04,0.0106485775
H3K36me3_TTS_bin04,0.009998101
H3K4me_TTS_bin02,0.009305512
H2B.Z_TTS_bin05,0.0090824645
H3K4me1_TTS_bin01,0.008730634
H3K9ac_TTS_bin09,0.007900539
H3_TTS_bin02,0.007425096
H3_TTS_bin01,0.0071847653
MNase_TTS_bin08,0.006880387
H3_TTS_bin09,0.0066381833
H3K36me3_TTS_bin05,0.006430036
H3K18me_TTS_bin01,0.0064241937
H2B.Z_TTS_bin06,0.0063704364
H3K4me1_TTS_bin20,0.0062659676
H3_TTS_bin19,0.0062630745
H3K18me_TTS_bin04,0.0061298916
H3_TTS_bin11,0.0061039864
H3K4me_TTS_bin01,0.006000581
H2A.Z_TTS_bin04,0.005814298
H3K18me_TTS_bin05,0.005237263
H3K18me_TTS_bin03,0.0051493105
H2B.Z_TTS_bin01,0.0051416117
H3K18me_TTS_bin18,0.005139393
H2B.Z_TTS_bin02,0.0046621035
H2A.Z_TTS_bin02,0.0045261397
MNase_TTS_bin09,0.0044708312
H3_TTS_bin12,0.004448237
MNase_TTS_bin20,0.0043151025
H3K4me2_TTS_bin04,0.004254836
MNase_TTS_bin11,0.0040892325
H3_TTS_bin10,0.0040303315
H2B.Z_TTS_bin17,0.004021102
H3K4me1_TTS_bin11,0.0040125814
H3K27ac_TTS_bin05,0.0040045585
H3K36me3_TTS_bin03,0.0039931433
H3K4me3_TTS_bin05,0.0039547873
H3K4me_TTS_bin10,0.0039376873
H3K4me1_TTS_bin19,0.0039258734
H3K4me2_TTS_bin09,0.0038523865
H3K27ac_TTS_bin04,0.003807055
H3K36me3_TTS_bin02,0.003737432
H3K9ac_TTS_bin10,0.0037339942
H3_TTS_bin18,0.0037102022
H3K27me_TTS_bin18,0.0036774979
H3K18me_TTS_bin16,0.0036451768
H3K4me2_TTS_bin05,0.0036310207
H3K27me_TTS_bin19,0.0036296784
H3K9ac_TTS_bin04,0.0036281648
H3K27ac_TTS_bin06,0.0036129032
H3K18me_TTS_bin17,0.0036077276
H3K18me_TTS_bin15,0.0035018914
H3K4me1_TTS_bin18,0.003482793
H3K27ac_TTS_bin14,0.0034528712
H3K4me1_TTS_bin16,0.0034458046
H3K4me_TTS_bin17,0.0034098905
H3K4me_TTS_bin15,0.0033746662
H3K27ac_TTS_bin03,0.0033326433
H3K18me_TTS_bin02,0.0033267012
H3K27ac_TTS_bin12,0.0033169594
H3K27ac_TTS_bin02,0.00331104
H2A.Zac_TTS_bin12,0.0033039497
H3K27ac_TTS_bin07,0.0033031197
H2B.Z_TTS_bin07,0.0032856287
H3_TTS_bin15,0.0032843065
H3K27ac_TTS_bin08,0.003226502
H2B.Z_TTS_bin08,0.0032175418
H3K27me_TTS_bin04,0.0031944786
H3K4me1_TTS_bin10,0.0031821998
H3K4me_TTS_bin06,0.003179753
H3K27me_TTS_bin10,0.0031505767
H2A.Z_TTS_bin06,0.0031438742
H3K4me1_TTS_bin09,0.0031261838
MNase_TTS_bin12,0.0031131275
H3K18ac_TTS_bin03,0.0031018667
H3K18ac_TTS_bin09,0.0030896699
H3K36me3_TTS_bin19,0.0030778942
H3K18ac_TTS_bin08,0.0030629989
H2A.Z_TTS_bin03,0.0030607865
H3_TTS_bin04,0.0030364883
H2A.Zac_TTS_bin01,0.0030343323
H3K36me3_TTS_bin16,0.0029733994
H2A.Zac_TTS_bin08,0.0029674699
H2A.Zac_TTS_bin04,0.002963481
H3R17me2_TTS_bin11,0.0029601706
H2B.Z_TTS_bin13,0.0029525412
H3K18me_TTS_bin06,0.0029204157
H3K18ac_TTS_bin07,0.002887356
H3K9ac_TTS_bin05,0.0028834804
MNase_TTS_bin01,0.0028718752
H3K4me_TTS_bin19,0.0028312164
H2B.Z_TTS_bin12,0.0028290886
H3K4me2_TTS_bin16,0.0028206646
H3K18me_TTS_bin11,0.0028123707
