feature,F,p,q,eta2
H2A.Zac_TSS_bin06,604.3057060045065,3.104908348171809e-124,6.240865779825337e-122,0.1334507308557372
H3K18ac_TSS_bin06,586.0239445085195,8.807212451436728e-121,8.851248513693912e-119,0.12993810048881713
H3K18ac_TSS_bin05,574.4150344796632,1.39548654092946e-118,9.349759824227383e-117,0.1276927606894561
H2A.Zac_TSS_bin05,572.217662762338,3.645648844525397e-118,1.831938544374012e-116,0.12726645053273178
H2A.Zac_TSS_bin07,566.3663977972956,4.7132601505028076e-117,1.8947305805021285e-115,0.12612921700000268
H3K27ac_TSS_bin12,556.6331772970353,3.3540406848235267e-115,1.1236036294158815e-113,0.12423091899543248
H3K18ac_TSS_bin12,555.634763930332,5.197549691647088e-115,1.492439268601521e-113,0.12403572907422263
H3K18ac_TSS_bin07,551.7483725211954,2.86215268995259e-114,7.191158633505882e-113,0.12327510990310536
H2B.Z_TSS_bin08,548.5692243094162,1.156764551508968e-113,2.5834408317033623e-112,0.12265192483278277
H3K27ac_TSS_bin05,546.3888077346259,3.0164860778610865e-113,5.728542453322365e-112,0.12222400136410258
H3K27ac_TSS_bin04,546.3011464755429,3.1350232331614936e-113,5.728542453322365e-112,0.12220678844114459
H3K27ac_TSS_bin13,527.961668179184,1.0130261447076051e-109,1.6968187923852386e-108,0.1185907937961011
H3K18ac_TSS_bin11,527.3050619524536,1.353750509883681e-109,2.0931065575893836e-108,0.11846077826918568
H3K27ac_TSS_bin06,522.5683802014543,1.0976297944692727e-108,1.57588277634517e-107,0.1175217236123509
H2B.Z_TSS_bin06,521.5328270776525,1.7349949435616965e-108,2.3248932243726737e-107,0.11731615699720094
H3K18ac_TSS_bin04,517.6232384003262,9.781932729949054e-108,1.2288552991998498e-106,0.11653920438932834
H2B.Z_TSS_bin11,501.028916710411,1.5349494600418284e-104,1.814852008637691e-103,0.11322613391708146
H3K27ac_TSS_bin11,500.5101448970195,1.93282930167997e-104,2.1583260535426334e-103,0.11312216008234934
H2A.Zac_TSS_bin12,482.8032081353131,5.1287409182155763e-101,5.425668024007004e-100,0.10955860412464516
H3K18ac_TSS_bin13,477.75504026544166,4.88306446747529e-100,4.9074797898126665e-99,0.10853739835477788
H2A.Zac_TSS_bin04,476.14372125867925,1.0030384289538426e-99,9.600510677129637e-99,0.10821094751025004
H2A.Zac_TSS_bin08,471.59096364669745,7.67831927900922e-99,7.015191704912968e-98,0.1072872720748914
H3K18ac_TSS_bin08,465.0924105781367,1.4080647198247064e-97,1.2305261247163737e-96,0.10596550882756967
