feature,F,p,q,eta2
H3K4me_TTS_bin05,768.9067129022011,1.058072144083983e-154,1.978594909437048e-152,0.16384444864165887
H2B.Z_TTS_bin05,684.5284015444012,3.203513071563132e-139,2.9952847219115285e-137,0.14853513787937234
H2A.Z_TTS_bin05,681.1016432834043,1.381566237431417e-138,8.611762879989165e-137,0.1479015439923675
H2B.Z_TTS_bin06,591.5732617441076,7.857225819642951e-122,3.67325307068308e-120,0.13100734446186718
H3K4me_TTS_bin06,556.9635584556872,2.901545620843543e-115,1.0851780621954851e-113,0.12429548939416911
H2A.Z_TTS_bin06,547.0303057009884,2.275168746199349e-113,7.090942592321304e-112,0.12234994359207824
H3K4me2_TTS_bin05,528.2883323248152,8.76966488386843e-110,2.342753333261995e-108,0.11865546274020466
H3K36me3_TTS_bin05,429.7409086525996,1.1344462135614425e-90,2.651768024199872e-89,0.09870612828580014
H2A.Z_TTS_bin07,412.3661710020444,2.951950218130288e-87,6.133496564337377e-86,0.09509486854675721
H2B.Z_TTS_bin07,411.38336657945183,4.6101613450541445e-87,8.621001715251251e-86,0.09488973218625107
H3K4me2_TTS_bin06,405.1389045918476,7.850430145325386e-86,1.3345731247053156e-84,0.0935841777130605
H3K18me_TTS_bin05,369.7109230397329,8.216843084379279e-79,1.2804580473157709e-77,0.08610521985909475
MNase_TTS_bin05,359.6440865191978,8.32269777800926e-77,1.1971880649905627e-75,0.08395750890019371
H3K4me1_TTS_bin05,356.71002376660573,3.204178047435833e-76,4.2798663919321483e-75,0.08332963965934226
H2A.Z_TTS_bin08,302.25922104805363,2.7975479405129564e-65,3.487609765839486e-64,0.07151932837974323
H3K4me_TTS_bin07,299.5177430855612,1.003483323059333e-64,1.1728211338255955e-63,0.07091665320357894
H3K18me_TTS_bin06,296.92793840036956,3.3565889022156434e-64,3.6922477924372077e-63,0.07034660215329287
H3K27me_TTS_bin05,275.19550940615846,8.702888837126919e-60,9.0413345141263e-59,0.06553529331742784
H3K36me3_TTS_bin06,253.0233642228654,2.93515424041665e-55,2.8888096997784925e-54,0.060575041640912715
H2B.Z_TTS_bin08,249.7620625473576,1.3671014604434167e-54,1.2782398655145948e-53,0.05984099208446999
H2A.Z_TTS_bin09,231.13166114994235,9.193708756536256e-51,8.186778749867999e-50,0.05562559264030061
H3K4me2_TTS_bin07,200.86937348352146,1.6620525303233103e-44,1.4127446507748138e-43,0.048697147787224074
H2A.Zac_TTS_bin05,198.60122409234123,4.916249778154216e-44,3.997124819629732e-43,0.04817376537214475
H3K4me1_TTS_bin06,195.99995380468016,1.7066660458109315e-43,1.329777294027684e-42,0.04757280485493229
H3K18me_TTS_bin07,182.01763111507688,1.39320529683998e-40,1.0421175620363049e-39,0.044329481134167965
MNase_TTS_bin06,181.6048728517954,1.6987966375163564e-40,1.2218268123675332e-39,0.04423340250121311
H3R17me2_TTS_bin05,179.16614477755482,5.485365282686494e-40,3.7991233624532385e-39,0.04366533999740532
H3K27me_TTS_bin06,172.44087992908624,1.3957773066058066e-38,9.321798440545923e-38,0.04209529320293067
H2B.Z_TTS_bin09,171.267243860116,2.456851189151803e-38,1.5842454219703004e-37,0.04182077350797818
H2A.Z_TTS_bin10,156.44938498626902,3.1455198400777283e-35,1.960707366981784e-34,0.038341214465718816
H2A.Zac_TTS_bin06,154.29434879354866,8.926659164999102e-35,5.384791173725265e-34,0.03783305852830176
H3K18me_TTS_bin15,146.59962204720006,3.719091528820382e-33,2.1733441121544107e-32,0.03601425727383909
H2A.Zac_TTS_bin07,137.26623746188775,3.4673651624047305e-31,1.9648402586960138e-30,0.03379887686153594
H3K4me_TTS_bin15,133.99835126749485,1.7017151133491845e-30,9.359433123420514e-30,0.03302079982995585
H2A.Zac_TTS_bin08,130.61159479098995,8.863818409526067e-30,4.7358115502324987e-29,0.032213096553758265
ATAC_TTS_bin05,126.19513013747031,7.645001842894549e-29,3.9711537350591132e-28,0.031157790200885216
ATAC_TTS_bin06,122.21822867492679,5.33441850258077e-28,2.6960439458989294e-27,0.030205545466822567
H3K18me_TTS_bin14,119.96923783272514,1.6020570983226891e-27,7.883807299640602e-27,0.029666209305049006
H3_TTS_bin05,119.90798666572533,1.650782528961547e-27,7.915290587584853e-27,0.029651512116770886
H3K18ac_TTS_bin05,108.3246114167273,4.819191656283125e-25,2.2529720993123607e-24,0.026864060276801036
ATAC_TTS_bin07,107.16354278027173,8.523055364692752e-25,3.88734476389645e-24,0.026583774546234753
H3K4me_TTS_bin14,102.43045786064536,8.729960950548079e-24,3.8869111851249776e-23,0.025439519925316057
