id	type	band	source	chr	pos
NEG_FAR_Pf3D7_01_v3_186223	far	na	quiet_intergenic	Pf3D7_01_v3	186223
NEG_FAR_Pf3D7_01_v3_186623	far	na	quiet_intergenic	Pf3D7_01_v3	186623
NEG_FAR_Pf3D7_01_v3_186823	far	na	quiet_intergenic	Pf3D7_01_v3	186823
NEG_FAR_Pf3D7_01_v3_187023	far	na	quiet_intergenic	Pf3D7_01_v3	187023
NEG_FAR_Pf3D7_01_v3_311258	far	na	quiet_intergenic	Pf3D7_01_v3	311258
NEG_FAR_Pf3D7_01_v3_311458	far	na	quiet_intergenic	Pf3D7_01_v3	311458
NEG_FAR_Pf3D7_01_v3_311858	far	na	quiet_intergenic	Pf3D7_01_v3	311858
NEG_FAR_Pf3D7_01_v3_312058	far	na	quiet_intergenic	Pf3D7_01_v3	312058
NEG_FAR_Pf3D7_01_v3_312258	far	na	quiet_intergenic	Pf3D7_01_v3	312258
NEG_FAR_Pf3D7_01_v3_457821	far	na	quiet_intergenic	Pf3D7_01_v3	457821
NEG_FAR_Pf3D7_01_v3_458021	far	na	quiet_intergenic	Pf3D7_01_v3	458021
NEG_FAR_Pf3D7_01_v3_458421	far	na	quiet_intergenic	Pf3D7_01_v3	458421
NEG_FAR_Pf3D7_01_v3_458621	far	na	quiet_intergenic	Pf3D7_01_v3	458621
NEG_FAR_Pf3D7_01_v3_458821	far	na	quiet_intergenic	Pf3D7_01_v3	458821
NEG_FAR_Pf3D7_01_v3_459021	far	na	quiet_intergenic	Pf3D7_01_v3	459021
NEG_FAR_Pf3D7_01_v3_459421	far	na	quiet_intergenic	Pf3D7_01_v3	459421
NEG_FAR_Pf3D7_01_v3_459621	far	na	quiet_intergenic	Pf3D7_01_v3	459621
NEG_FAR_Pf3D7_01_v3_459821	far	na	quiet_intergenic	Pf3D7_01_v3	459821
NEG_FAR_Pf3D7_01_v3_460021	far	na	quiet_intergenic	Pf3D7_01_v3	460021
NEG_FAR_Pf3D7_01_v3_460221	far	na	quiet_intergenic	Pf3D7_01_v3	460221
NEG_FAR_Pf3D7_01_v3_460421	far	na	quiet_intergenic	Pf3D7_01_v3	460421
NEG_FAR_Pf3D7_01_v3_460621	far	na	quiet_intergenic	Pf3D7_01_v3	460621
NEG_FAR_Pf3D7_01_v3_460821	far	na	quiet_intergenic	Pf3D7_01_v3	460821
