id	type	band	source	chr	pos
NEG_NEAR_Pf3D7_01_v3_29509_29177	near	332	TSS/TTS	Pf3D7_01_v3	29177
NEG_NEAR_Pf3D7_01_v3_29509_30059	near	550	TSS/TTS	Pf3D7_01_v3	30059
NEG_NEAR_Pf3D7_01_v3_29509_30930	near	1421	TSS/TTS	Pf3D7_01_v3	30930
NEG_NEAR_Pf3D7_01_v3_37473_37155	near	318	TSS/TTS	Pf3D7_01_v3	37155
NEG_NEAR_Pf3D7_01_v3_37473_36191	near	1282	TSS/TTS	Pf3D7_01_v3	36191
NEG_NEAR_Pf3D7_01_v3_37473_38048	near	575	TSS/TTS	Pf3D7_01_v3	38048
NEG_NEAR_Pf3D7_01_v3_37473_38264	near	791	TSS/TTS	Pf3D7_01_v3	38264
NEG_NEAR_Pf3D7_01_v3_74300_73991	near	309	TSS/TTS	Pf3D7_01_v3	73991
NEG_NEAR_Pf3D7_01_v3_74300_72938	near	1362	TSS/TTS	Pf3D7_01_v3	72938
NEG_NEAR_Pf3D7_01_v3_74300_74850	near	550	TSS/TTS	Pf3D7_01_v3	74850
NEG_NEAR_Pf3D7_01_v3_75585_75244	near	341	TSS/TTS	Pf3D7_01_v3	75244
NEG_NEAR_Pf3D7_01_v3_75585_74131	near	1454	TSS/TTS	Pf3D7_01_v3	74131
NEG_NEAR_Pf3D7_01_v3_75585_75919	near	334	TSS/TTS	Pf3D7_01_v3	75919
NEG_NEAR_Pf3D7_01_v3_75585_77031	near	1446	TSS/TTS	Pf3D7_01_v3	77031
NEG_NEAR_Pf3D7_01_v3_98402_98131	near	271	TSS/TTS	Pf3D7_01_v3	98131
NEG_NEAR_Pf3D7_01_v3_98402_96990	near	1412	TSS/TTS	Pf3D7_01_v3	96990
NEG_NEAR_Pf3D7_01_v3_98402_98721	near	319	TSS/TTS	Pf3D7_01_v3	98721
NEG_NEAR_Pf3D7_01_v3_98402_99500	near	1098	TSS/TTS	Pf3D7_01_v3	99500
NEG_NEAR_Pf3D7_01_v3_102684_102265	near	419	TSS/TTS	Pf3D7_01_v3	102265
NEG_NEAR_Pf3D7_01_v3_102684_101398	near	1286	TSS/TTS	Pf3D7_01_v3	101398
NEG_NEAR_Pf3D7_01_v3_102684_103044	near	360	TSS/TTS	Pf3D7_01_v3	103044
NEG_NEAR_Pf3D7_01_v3_102684_103954	near	1270	TSS/TTS	Pf3D7_01_v3	103954
NEG_NEAR_Pf3D7_01_v3_104160_103636	near	524	TSS/TTS	Pf3D7_01_v3	103636
NEG_NEAR_Pf3D7_01_v3_104160_103291	near	869	TSS/TTS	Pf3D7_01_v3	103291
NEG_NEAR_Pf3D7_01_v3_104160_104743	near	583	TSS/TTS	Pf3D7_01_v3	104743
NEG_NEAR_Pf3D7_01_v3_104160_104898	near	738	TSS/TTS	Pf3D7_01_v3	104898
NEG_NEAR_Pf3D7_01_v3_105759_105285	near	474	TSS/TTS	Pf3D7_01_v3	105285
NEG_NEAR_Pf3D7_01_v3_105759_104979	near	780	TSS/TTS	Pf3D7_01_v3	104979
NEG_NEAR_Pf3D7_01_v3_105759_106141	near	382	TSS/TTS	Pf3D7_01_v3	106141
NEG_NEAR_Pf3D7_01_v3_105759_106618	near	859	TSS/TTS	Pf3D7_01_v3	106618
NEG_NEAR_Pf3D7_01_v3_161057_160714	near	343	TSS/TTS	Pf3D7_01_v3	160714
NEG_NEAR_Pf3D7_01_v3_161057_160052	near	1005	TSS/TTS	Pf3D7_01_v3	160052
NEG_NEAR_Pf3D7_01_v3_161057_161538	near	481	TSS/TTS	Pf3D7_01_v3	161538
NEG_NEAR_Pf3D7_01_v3_161057_161898	near	841	TSS/TTS	Pf3D7_01_v3	161898
NEG_NEAR_Pf3D7_01_v3_166229_165670	near	559	TSS/TTS	Pf3D7_01_v3	165670
NEG_NEAR_Pf3D7_01_v3_166229_165254	near	975	TSS/TTS	Pf3D7_01_v3	165254
NEG_NEAR_Pf3D7_01_v3_166229_166751	near	522	TSS/TTS	Pf3D7_01_v3	166751
NEG_NEAR_Pf3D7_01_v3_166229_167303	near	1074	TSS/TTS	Pf3D7_01_v3	167303
NEG_NEAR_Pf3D7_01_v3_166512_165682	near	830	TSS/TTS	Pf3D7_01_v3	165682
NEG_NEAR_Pf3D7_01_v3_166512_167069	near	557	TSS/TTS	Pf3D7_01_v3	167069
NEG_NEAR_Pf3D7_01_v3_166512_167970	near	1458	TSS/TTS	Pf3D7_01_v3	167970
NEG_NEAR_Pf3D7_01_v3_169042_168467	near	575	TSS/TTS	Pf3D7_01_v3	168467
NEG_NEAR_Pf3D7_01_v3_169042_168019	near	1023	TSS/TTS	Pf3D7_01_v3	168019
NEG_NEAR_Pf3D7_01_v3_169042_169631	near	589	TSS/TTS	Pf3D7_01_v3	169631
NEG_NEAR_Pf3D7_01_v3_169042_170464	near	1422	TSS/TTS	Pf3D7_01_v3	170464
NEG_NEAR_Pf3D7_01_v3_172653_172131	near	522	TSS/TTS	Pf3D7_01_v3	172131
NEG_NEAR_Pf3D7_01_v3_172653_171670	near	983	TSS/TTS	Pf3D7_01_v3	171670
NEG_NEAR_Pf3D7_01_v3_172653_173213	near	560	TSS/TTS	Pf3D7_01_v3	173213
NEG_NEAR_Pf3D7_01_v3_172653_173870	near	1217	TSS/TTS	Pf3D7_01_v3	173870
