lnc_id,lnc_chr,lnc_start,lnc_end,lnc_strand,gene_id,gene_name,gene_chr,gene_start,gene_end,gene_strand,orientation
TCONS_00000212,Pf3D7_01_v3,32968,35009,-,PF3D7_0100100,NA,Pf3D7_01_v3,29510,37126,+,antisense
Pf3D7lncRNA_0001,Pf3D7_01_v3,34769,35559,-,PF3D7_0100100,NA,Pf3D7_01_v3,29510,37126,+,antisense
bowtie_circ_005732,Pf3D7_01_v3,100102,100324,-,PF3D7_0102200,NA,Pf3D7_01_v3,98819,102282,+,antisense
Pf3D7lncRNA_0013,Pf3D7_01_v3,111723,112009,+,PF3D7_0102500,NA,Pf3D7_01_v3,110750,115799,-,antisense
bowtie_circ_001015,Pf3D7_01_v3,113335,113440,+,PF3D7_0102500,NA,Pf3D7_01_v3,110750,115799,-,antisense
bowtie_circ_003571,Pf3D7_01_v3,144889,145004,-,PF3D7_0103300,NA,Pf3D7_01_v3,143640,146396,-,sense
bowtie_circ_005040,Pf3D7_01_v3,195110,195302,+,PF3D7_0104300,NA,Pf3D7_01_v3,190269,201230,+,sense
bowtie_circ_002770,Pf3D7_01_v3,268647,268803,-,PF3D7_0106300,NA,Pf3D7_01_v3,265208,269173,-,sense
Pf3D7lncRNA_0035,Pf3D7_01_v3,293871,294343,-,PF3D7_0107000,NA,Pf3D7_01_v3,293642,294968,+,antisense
bowtie_circ_005283,Pf3D7_01_v3,306625,306880,-,PF3D7_0107500,NA,Pf3D7_01_v3,304362,309257,-,sense
bowtie_circ_002139,Pf3D7_01_v3,306749,306928,-,PF3D7_0107500,NA,Pf3D7_01_v3,304362,309257,-,sense
bowtie_circ_004373,Pf3D7_01_v3,338621,338744,+,PF3D7_0108300,NA,Pf3D7_01_v3,337168,343833,+,sense
bowtie_circ_000596,Pf3D7_01_v3,342994,343120,+,PF3D7_0108300,NA,Pf3D7_01_v3,337168,343833,+,sense
bowtie_circ_005059,Pf3D7_01_v3,345684,346267,-,PF3D7_0108400,NA,Pf3D7_01_v3,344400,346540,-,sense
bowtie_circ_005431,Pf3D7_01_v3,358504,359972,+,PF3D7_0108800,NA,Pf3D7_01_v3,357834,360339,+,sense
bowtie_circ_000554,Pf3D7_01_v3,359383,359972,+,PF3D7_0108800,NA,Pf3D7_01_v3,357834,360339,+,sense
Pf3D7lncRNA_0043,Pf3D7_01_v3,366744,367253,-,PF3D7_0109100,NA,Pf3D7_01_v3,365610,368795,+,antisense
bowtie_circ_005244,Pf3D7_01_v3,379265,379372,-,PF3D7_0109700,NA,Pf3D7_01_v3,379149,379806,-,sense
Pf3D7lncRNA_0047,Pf3D7_01_v3,383649,386156,-,PF3D7_0109850,NA,Pf3D7_01_v3,383284,386632,+,antisense
TCONS_00000309,Pf3D7_01_v3,384577,386151,-,PF3D7_0109850,NA,Pf3D7_01_v3,383284,386632,+,antisense
bowtie_circ_000827,Pf3D7_01_v3,410319,410950,+,PF3D7_0110600,NA,Pf3D7_01_v3,405739,412169,+,sense
bowtie_circ_002697,Pf3D7_01_v3,414916,415025,-,PF3D7_0110700,NA,Pf3D7_01_v3,413760,415100,-,sense
Pf3D7lncRNA_0050,Pf3D7_01_v3,422922,423215,+,PF3D7_0111000,NA,Pf3D7_01_v3,421776,427575,-,antisense
Pf3D7lncRNA_0052,Pf3D7_01_v3,431695,431935,+,PF3D7_0111300,NA,Pf3D7_01_v3,431539,435042,-,antisense
bowtie_circ_000068,Pf3D7_01_v3,440554,440851,-,PF3D7_0111500,NA,Pf3D7_01_v3,439652,441418,-,sense
bowtie_circ_001555,Pf3D7_01_v3,446113,446215,+,PF3D7_0111800,NA,Pf3D7_01_v3,446026,448849,+,sense
bowtie_circ_000530,Pf3D7_01_v3,446494,446700,+,PF3D7_0111800,NA,Pf3D7_01_v3,446026,448849,+,sense
bowtie_circ_002155,Pf3D7_01_v3,488221,488340,-,PF3D7_0113000,NA,Pf3D7_01_v3,487892,490127,-,sense
bowtie_circ_000085,Pf3D7_01_v3,488229,488703,+,PF3D7_0113000,NA,Pf3D7_01_v3,487892,490127,-,antisense
