lnc_id,Chr,Start,End,Strand
TCONS_00000004,Pf3D7_01_v3,52374,53613,+
TCONS_00000008,Pf3D7_01_v3,81304,82666,+
TCONS_00000012,Pf3D7_01_v3,123693,124173,+
TCONS_00000013,Pf3D7_01_v3,171700,172363,+
TCONS_00000014,Pf3D7_01_v3,177141,177542,+
TCONS_00000015,Pf3D7_01_v3,188440,189625,+
TCONS_00000016,Pf3D7_01_v3,213891,214505,+
TCONS_00000018,Pf3D7_01_v3,235186,236383,+
TCONS_00000019,Pf3D7_01_v3,236822,238198,+
TCONS_00000020,Pf3D7_01_v3,270111,271481,+
TCONS_00000025,Pf3D7_01_v3,311342,313632,+
TCONS_00000026,Pf3D7_01_v3,334095,337003,+
TCONS_00000028,Pf3D7_01_v3,396051,396470,+
TCONS_00000030,Pf3D7_01_v3,404451,404741,+
TCONS_00000035,Pf3D7_01_v3,428612,429653,+
TCONS_00000037,Pf3D7_01_v3,453456,454265,+
TCONS_00000039,Pf3D7_01_v3,472059,473263,+
TCONS_00000041,Pf3D7_01_v3,483442,485586,+
TCONS_00000042,Pf3D7_01_v3,491225,494291,+
TCONS_00000049,Pf3D7_01_v3,523496,524624,+
TCONS_00000053,Pf3D7_01_v3,540926,541484,+
TCONS_00000055,Pf3D7_01_v3,549726,550925,+
TCONS_00000058,Pf3D7_01_v3,555857,556806,+
TCONS_00000064,Pf3D7_01_v3,575241,575842,+
TCONS_00000065,Pf3D7_01_v3,575957,576954,+
TCONS_00000070,Pf3D7_01_v3,285,6479,-
TCONS_00000071,Pf3D7_01_v3,27496,29007,-
TCONS_00000079,Pf3D7_01_v3,94885,95965,-
TCONS_00000081,Pf3D7_01_v3,109136,109722,-
TCONS_00000087,Pf3D7_01_v3,121783,123250,-
TCONS_00000096,Pf3D7_01_v3,184902,188896,-
TCONS_00000097,Pf3D7_01_v3,213562,215105,-
TCONS_00000099,Pf3D7_01_v3,219796,220650,-
TCONS_00000105,Pf3D7_01_v3,234908,236544,-
TCONS_00000107,Pf3D7_01_v3,269453,269909,-
TCONS_00000108,Pf3D7_01_v3,285729,286374,-
TCONS_00000110,Pf3D7_01_v3,301829,303979,-
TCONS_00000111,Pf3D7_01_v3,309975,311827,-
TCONS_00000117,Pf3D7_01_v3,333824,334096,-
TCONS_00000130,Pf3D7_01_v3,438763,439344,-
TCONS_00000131,Pf3D7_01_v3,443997,444720,-
TCONS_00000135,Pf3D7_01_v3,461901,463313,-
TCONS_00000136,Pf3D7_01_v3,471482,472664,-
TCONS_00000140,Pf3D7_01_v3,500230,500653,-
TCONS_00000141,Pf3D7_01_v3,503721,504309,-
TCONS_00000143,Pf3D7_01_v3,516443,519503,-
TCONS_00000145,Pf3D7_01_v3,540687,541200,-
TCONS_00000148,Pf3D7_01_v3,556006,556813,-
TCONS_00000152,Pf3D7_01_v3,570636,571152,-
TCONS_00000154,Pf3D7_01_v3,573501,573982,-
TCONS_00000155,Pf3D7_01_v3,575670,576925,-
TCONS_00000157,Pf3D7_01_v3,600319,601171,-
TCONS_00000160,Pf3D7_02_v3,32768,34211,+
TCONS_00000164,Pf3D7_02_v3,106283,107251,+
TCONS_00000167,Pf3D7_02_v3,114921,116864,+
TCONS_00000168,Pf3D7_02_v3,118858,119442,+
TCONS_00000170,Pf3D7_02_v3,134505,135097,+
TCONS_00000172,Pf3D7_02_v3,190197,191726,+
TCONS_00000173,Pf3D7_02_v3,192185,192639,+
TCONS_00000177,Pf3D7_02_v3,287854,288095,+
TCONS_00000184,Pf3D7_02_v3,402909,403950,+
TCONS_00000192,Pf3D7_02_v3,449239,449898,+
TCONS_00000193,Pf3D7_02_v3,461719,462907,+
TCONS_00000196,Pf3D7_02_v3,555722,556195,+
TCONS_00000198,Pf3D7_02_v3,576987,577276,+
TCONS_00000199,Pf3D7_02_v3,602381,602936,+
TCONS_00000200,Pf3D7_02_v3,603366,604830,+
TCONS_00000201,Pf3D7_02_v3,632538,633068,+
TCONS_00000203,Pf3D7_02_v3,699653,700324,+
TCONS_00000205,Pf3D7_02_v3,719318,720238,+
TCONS_00000207,Pf3D7_02_v3,746643,747123,+
TCONS_00000211,Pf3D7_02_v3,754392,754922,+
TCONS_00000215,Pf3D7_02_v3,795420,796057,+
TCONS_00000217,Pf3D7_02_v3,808264,808965,+
TCONS_00000218,Pf3D7_02_v3,811802,812563,+
TCONS_00000219,Pf3D7_02_v3,814813,815414,+
TCONS_00000220,Pf3D7_02_v3,815975,817271,+
TCONS_00000221,Pf3D7_02_v3,818273,819075,+
