chr,start,end,strand,gene_id
Pf3D7_01_v3,40208,38681,-,PF3D7_0100200
Pf3D7_01_v3,46662,42066,-,PF3D7_0100300
Pf3D7_01_v3,50308,51937,+,PF3D7_0100400
Pf3D7_01_v3,53281,52768,-,PF3D7_0100500
Pf3D7_01_v3,55189,53577,-,PF3D7_0100600
Pf3D7_01_v3,57171,56389,-,PF3D7_0100700
Pf3D7_01_v3,59594,61204,+,PF3D7_0100800
Pf3D7_01_v3,63616,61886,-,PF3D7_0100900
Pf3D7_01_v3,67103,65516,-,PF3D7_0101000
Pf3D7_01_v3,70823,68903,-,PF3D7_0101100
Pf3D7_01_v3,71318,72827,+,PF3D7_0101200
Pf3D7_01_v3,74327,75567,+,PF3D7_0101300
Pf3D7_01_v3,76810,75681,-,PF3D7_0101400
Pf3D7_01_v3,78010,80292,+,PF3D7_0101500
Pf3D7_01_v3,83107,81364,-,PF3D7_0101600
Pf3D7_01_v3,86402,84390,-,PF3D7_0101700
Pf3D7_01_v3,88241,86902,-,PF3D7_0101800
Pf3D7_01_v3,91612,90041,-,PF3D7_0101900
Pf3D7_01_v3,94149,92812,-,PF3D7_0102000
Pf3D7_01_v3,94776,96300,+,PF3D7_0102100
Pf3D7_01_v3,98400,102683,+,PF3D7_0102200
Pf3D7_01_v3,104703,105610,+,PF3D7_0102300
Pf3D7_01_v3,108449,106796,-,PF3D7_0102400
Pf3D7_01_v3,115940,110649,-,PF3D7_0102500
Pf3D7_01_v3,121250,118640,-,PF3D7_0102600
Pf3D7_01_v3,124516,125885,+,PF3D7_0102700
Pf3D7_01_v3,128359,125917,-,PF3D7_0102800
Pf3D7_01_v3,131285,128559,-,PF3D7_0102900
Pf3D7_01_v3,133752,131685,-,PF3D7_0103000
Pf3D7_01_v3,139258,133952,-,PF3D7_0103100
Pf3D7_01_v3,142439,140261,-,PF3D7_0103200
Pf3D7_01_v3,146714,143239,-,PF3D7_0103300
Pf3D7_01_v3,153075,147514,-,PF3D7_0103400
Pf3D7_01_v3,154175,160727,+,PF3D7_0103500
Pf3D7_01_v3,161027,166230,+,PF3D7_0103600
Pf3D7_01_v3,166512,168788,+,PF3D7_0103700
Pf3D7_01_v3,171463,168778,-,PF3D7_0103800
Pf3D7_01_v3,172574,174892,+,PF3D7_0103900
Pf3D7_01_v3,175592,176577,+,PF3D7_0104000
Pf3D7_01_v3,177777,180991,+,PF3D7_0104100
Pf3D7_01_v3,184568,182421,-,PF3D7_0104200
Pf3D7_01_v3,190123,201631,+,PF3D7_0104300
Pf3D7_01_v3,202431,204444,+,PF3D7_0104400
Pf3D7_01_v3,205569,204321,-,PF3D7_0104500
Pf3D7_01_v3,205856,210590,+,PF3D7_0104600
Pf3D7_01_v3,210790,213406,+,PF3D7_0104700
Pf3D7_01_v3,215406,217910,+,PF3D7_0104800
Pf3D7_01_v3,219301,218116,-,PF3D7_0104900
Pf3D7_01_v3,219501,218516,-,PF3D7_0105000
Pf3D7_01_v3,220824,221934,+,PF3D7_0105100
Pf3D7_01_v3,224309,221853,-,PF3D7_0105200
Pf3D7_01_v3,225880,224709,-,PF3D7_0105300
Pf3D7_01_v3,227484,226280,-,PF3D7_0105400
Pf3D7_01_v3,229788,228084,-,PF3D7_0105500
Pf3D7_01_v3,234765,229888,-,PF3D7_0105600
Pf3D7_01_v3,238503,248258,+,PF3D7_0105700
Pf3D7_01_v3,252083,248830,-,PF3D7_0105800
Pf3D7_01_v3,253111,255331,+,PF3D7_0105900
Pf3D7_01_v3,258957,255374,-,PF3D7_0106000
Pf3D7_01_v3,262239,260357,-,PF3D7_0106100
Pf3D7_01_v3,264307,263239,-,PF3D7_0106200
Pf3D7_01_v3,269174,264807,-,PF3D7_0106300
Pf3D7_01_v3,272453,273405,+,PF3D7_0106400
Pf3D7_01_v3,274205,278751,+,PF3D7_0106500
Pf3D7_01_v3,279114,280315,+,PF3D7_0106600
Pf3D7_01_v3,280815,285860,+,PF3D7_0106700
Pf3D7_01_v3,286860,289319,+,PF3D7_0106800
Pf3D7_01_v3,290019,292891,+,PF3D7_0106900
Pf3D7_01_v3,293291,294969,+,PF3D7_0107000
Pf3D7_01_v3,296961,294969,-,PF3D7_0107100
Pf3D7_01_v3,297232,299398,+,PF3D7_0107200
Pf3D7_01_v3,301036,299398,-,PF3D7_0107300
Pf3D7_01_v3,302669,303799,+,PF3D7_0107400
Pf3D7_01_v3,309317,304061,-,PF3D7_0107500
Pf3D7_01_v3,314458,319706,+,PF3D7_0107600
Pf3D7_01_v3,320167,321509,+,PF3D7_0107700
Pf3D7_01_v3,322209,326173,+,PF3D7_0107800
Pf3D7_01_v3,327430,326396,-,PF3D7_0107900
Pf3D7_01_v3,329837,328030,-,PF3D7_0108000
Pf3D7_01_v3,330737,333109,+,PF3D7_0108100
Pf3D7_01_v3,337167,344234,+,PF3D7_0108300
Pf3D7_01_v3,346769,343999,-,PF3D7_0108400
Pf3D7_01_v3,349169,349994,+,PF3D7_0108500
Pf3D7_01_v3,351627,349994,-,PF3D7_0108600
Pf3D7_01_v3,356433,352013,-,PF3D7_0108700
Pf3D7_01_v3,357512,360740,+,PF3D7_0108800
Pf3D7_01_v3,362587,361586,-,PF3D7_0108900
Pf3D7_01_v3,363187,364393,+,PF3D7_0109000
Pf3D7_01_v3,365293,369196,+,PF3D7_0109100
Pf3D7_01_v3,370614,369079,-,PF3D7_0109200
Pf3D7_01_v3,373013,371614,-,PF3D7_0109300
Pf3D7_01_v3,375088,374038,-,PF3D7_0109400
Pf3D7_01_v3,377373,375993,-,PF3D7_0109500
Pf3D7_01_v3,378748,377773,-,PF3D7_0109600
Pf3D7_01_v3,379996,378948,-,PF3D7_0109700
Pf3D7_01_v3,380307,382825,+,PF3D7_0109800
Pf3D7_01_v3,383225,386633,+,PF3D7_0109850
Pf3D7_01_v3,386633,388141,+,PF3D7_0109950
Pf3D7_01_v3,388371,389177,+,PF3D7_0110000
Pf3D7_01_v3,392066,389160,-,PF3D7_0110100
Pf3D7_01_v3,392466,393491,+,PF3D7_0110200
Pf3D7_01_v3,393491,393215,-,PF3D7_0110300
Pf3D7_01_v3,395190,393574,-,PF3D7_0110400
Pf3D7_01_v3,396590,403707,+,PF3D7_0110500
Pf3D7_01_v3,405407,412570,+,PF3D7_0110600
Pf3D7_01_v3,415101,413359,-,PF3D7_0110700
Pf3D7_01_v3,417501,420008,+,PF3D7_0110800
Pf3D7_01_v3,420854,419892,-,PF3D7_0110900
Pf3D7_01_v3,427576,421375,-,PF3D7_0111000
Pf3D7_01_v3,430859,429951,-,PF3D7_0111200
Pf3D7_01_v3,435507,431138,-,PF3D7_0111300
Pf3D7_01_v3,436407,438965,+,PF3D7_0111400
Pf3D7_01_v3,441842,439451,-,PF3D7_0111500
Pf3D7_01_v3,443584,442542,-,PF3D7_0111600
Pf3D7_01_v3,444425,443384,-,PF3D7_0111700
Pf3D7_01_v3,445639,449050,+,PF3D7_0111800
Pf3D7_01_v3,450830,449742,-,PF3D7_0111900
Pf3D7_01_v3,453146,450830,-,PF3D7_0112000
Pf3D7_01_v3,454819,455639,+,PF3D7_0112100
Pf3D7_01_v3,464539,470595,+,PF3D7_0112200
Pf3D7_01_v3,482619,481608,-,PF3D7_0112800
Pf3D7_01_v3,486019,487487,+,PF3D7_0112900
Pf3D7_01_v3,490128,487591,-,PF3D7_0113000
Pf3D7_01_v3,495028,500477,+,PF3D7_0113100
Pf3D7_01_v3,503337,500558,-,PF3D7_0113200
Pf3D7_01_v3,507351,504637,-,PF3D7_0113300
Pf3D7_01_v3,510085,507951,-,PF3D7_0113400
Pf3D7_01_v3,512085,518156,+,PF3D7_0113600
Pf3D7_01_v3,520806,522980,+,PF3D7_0113700
Pf3D7_01_v3,527106,536352,+,PF3D7_0113800
Pf3D7_01_v3,538479,536708,-,PF3D7_0113900
Pf3D7_01_v3,542479,546984,+,PF3D7_0114000
Pf3D7_01_v3,548575,547196,-,PF3D7_0114100
Pf3D7_01_v3,551839,550175,-,PF3D7_0114200
Pf3D7_01_v3,552614,554056,+,PF3D7_0114300
Pf3D7_01_v3,555800,554056,-,PF3D7_0114400
Pf3D7_01_v3,558709,557800,-,PF3D7_0114500
Pf3D7_01_v3,561702,560173,-,PF3D7_0114600
Pf3D7_01_v3,564843,563402,-,PF3D7_0114700
Pf3D7_01_v3,570334,569084,-,PF3D7_0114800
Pf3D7_01_v3,573103,571734,-,PF3D7_0114900
Pf3D7_01_v3,577454,584190,+,PF3D7_0115000
Pf3D7_01_v3,584690,585068,+,PF3D7_0115050
Pf3D7_01_v3,587368,588695,+,PF3D7_0115100
Pf3D7_01_v3,590248,589285,-,PF3D7_0115150
Pf3D7_01_v3,591395,593488,+,PF3D7_0115200
Pf3D7_01_v3,595101,596574,+,PF3D7_0115300
Pf3D7_01_v3,598374,599773,+,PF3D7_0115400
Pf3D7_01_v3,600573,602393,+,PF3D7_0115500
Pf3D7_01_v3,603793,605932,+,PF3D7_0115600
Pf3D7_02_v3,34260,32629,-,PF3D7_0200200
Pf3D7_02_v3,37250,35726,-,PF3D7_0200300
Pf3D7_02_v3,39304,38086,-,PF3D7_0200400
Pf3D7_02_v3,42985,41214,-,PF3D7_0200500
Pf3D7_02_v3,46722,44985,-,PF3D7_0200600
Pf3D7_02_v3,50148,48622,-,PF3D7_0200700
Pf3D7_02_v3,53353,51441,-,PF3D7_0200800
Pf3D7_02_v3,55343,53953,-,PF3D7_0200900
Pf3D7_02_v3,58906,57143,-,PF3D7_0201000
Pf3D7_02_v3,60356,59806,-,PF3D7_0201100
Pf3D7_02_v3,63020,64677,+,PF3D7_0201200
Pf3D7_02_v3,66377,67846,+,PF3D7_0201300
Pf3D7_02_v3,69046,70172,+,PF3D7_0201400
Pf3D7_02_v3,74450,73040,-,PF3D7_0201500
Pf3D7_02_v3,78890,76850,-,PF3D7_0201600
Pf3D7_02_v3,84166,80990,-,PF3D7_0201700
Pf3D7_02_v3,89217,86431,-,PF3D7_0201800
Pf3D7_02_v3,98839,91017,-,PF3D7_0201900
Pf3D7_02_v3,106263,102984,-,PF3D7_0202000
Pf3D7_02_v3,110581,109163,-,PF3D7_0202100
Pf3D7_02_v3,113924,112146,-,PF3D7_0202200
Pf3D7_02_v3,117224,118636,+,PF3D7_0202300
Pf3D7_02_v3,120336,124503,+,PF3D7_0202400
Pf3D7_02_v3,127703,128615,+,PF3D7_0202500
Pf3D7_02_v3,134022,129041,-,PF3D7_0202600
Pf3D7_02_v3,135064,137340,+,PF3D7_0202700
Pf3D7_02_v3,138390,137356,-,PF3D7_0202800
Pf3D7_02_v3,138590,141493,+,PF3D7_0202900
Pf3D7_02_v3,148023,141624,-,PF3D7_0203000
Pf3D7_02_v3,157036,149123,-,PF3D7_0203100
Pf3D7_02_v3,159813,157736,-,PF3D7_0203200
Pf3D7_02_v3,160161,161643,+,PF3D7_0203300
Pf3D7_02_v3,163168,161664,-,PF3D7_0203400
Pf3D7_02_v3,164441,164741,+,PF3D7_0203500
Pf3D7_02_v3,165841,168452,+,PF3D7_0203600
Pf3D7_02_v3,170462,168381,-,PF3D7_0203700
Pf3D7_02_v3,175266,171162,-,PF3D7_0203800
Pf3D7_02_v3,176413,178701,+,PF3D7_0203900
Pf3D7_02_v3,178954,181927,+,PF3D7_0204000
Pf3D7_02_v3,189417,182127,-,PF3D7_0204100
Pf3D7_02_v3,192816,194500,+,PF3D7_0204200
Pf3D7_02_v3,196917,194525,-,PF3D7_0204300
Pf3D7_02_v3,198044,197218,-,PF3D7_0204400
Pf3D7_02_v3,199781,198052,-,PF3D7_0204500
Pf3D7_02_v3,204388,200081,-,PF3D7_0204600
Pf3D7_02_v3,207782,205488,-,PF3D7_0204700
Pf3D7_02_v3,210947,209382,-,PF3D7_0204800
Pf3D7_02_v3,211347,212728,+,PF3D7_0204900
Pf3D7_02_v3,214537,212628,-,PF3D7_0205000
Pf3D7_02_v3,217581,214637,-,PF3D7_0205100
Pf3D7_02_v3,218908,217781,-,PF3D7_0205200
Pf3D7_02_v3,219508,222657,+,PF3D7_0205300
Pf3D7_02_v3,223057,225252,+,PF3D7_0205400
Pf3D7_02_v3,226424,225161,-,PF3D7_0205500
Pf3D7_02_v3,227646,230333,+,PF3D7_0205600
Pf3D7_02_v3,230733,232728,+,PF3D7_0205700
Pf3D7_02_v3,233936,232628,-,PF3D7_0205800
Pf3D7_02_v3,235177,239117,+,PF3D7_0205900
Pf3D7_02_v3,244257,239045,-,PF3D7_0206000
Pf3D7_02_v3,244897,247100,+,PF3D7_0206100
Pf3D7_02_v3,249029,251128,+,PF3D7_0206200
Pf3D7_02_v3,252328,262744,+,PF3D7_0206300
Pf3D7_02_v3,267577,262736,-,PF3D7_0206500
Pf3D7_02_v3,270993,269677,-,PF3D7_0206600
Pf3D7_02_v3,271220,273310,+,PF3D7_0206700
Pf3D7_02_v3,274739,273388,-,PF3D7_0206800
Pf3D7_02_v3,276693,275239,-,PF3D7_0206900
Pf3D7_02_v3,278806,277093,-,PF3D7_0207000
Pf3D7_02_v3,281457,287646,+,PF3D7_0207100
Pf3D7_02_v3,288767,287782,-,PF3D7_0207200
Pf3D7_02_v3,293072,289867,-,PF3D7_0207300
Pf3D7_02_v3,297696,293872,-,PF3D7_0207400
Pf3D7_02_v3,302565,298496,-,PF3D7_0207500
Pf3D7_02_v3,307146,303192,-,PF3D7_0207600
Pf3D7_02_v3,312156,308546,-,PF3D7_0207700
Pf3D7_02_v3,316895,313048,-,PF3D7_0207800
Pf3D7_02_v3,321311,317195,-,PF3D7_0207900
Pf3D7_02_v3,325724,322137,-,PF3D7_0208000
Pf3D7_02_v3,327924,335204,+,PF3D7_0208100
Pf3D7_02_v3,336957,335378,-,PF3D7_0208200
Pf3D7_02_v3,337282,343307,+,PF3D7_0208300
Pf3D7_02_v3,349635,343107,-,PF3D7_0208400
Pf3D7_02_v3,352441,353829,+,PF3D7_0208500
Pf3D7_02_v3,354229,356418,+,PF3D7_0208600
Pf3D7_02_v3,358341,356200,-,PF3D7_0208700
Pf3D7_02_v3,358715,360250,+,PF3D7_0208800
Pf3D7_02_v3,360827,368355,+,PF3D7_0208900
Pf3D7_02_v3,370437,380146,+,PF3D7_0209000
Pf3D7_02_v3,383864,380929,-,PF3D7_0209100
Pf3D7_02_v3,386972,384564,-,PF3D7_0209200
Pf3D7_02_v3,386981,388252,+,PF3D7_0209300
Pf3D7_02_v3,390974,388223,-,PF3D7_0209400
Pf3D7_02_v3,392790,391274,-,PF3D7_0209500
Pf3D7_02_v3,398852,394036,-,PF3D7_0209600
Pf3D7_02_v3,402280,399752,-,PF3D7_0209700
Pf3D7_02_v3,406699,403880,-,PF3D7_0209800
Pf3D7_02_v3,407756,408639,+,PF3D7_0209900
Pf3D7_02_v3,409639,410529,+,PF3D7_0210000
Pf3D7_02_v3,412129,413160,+,PF3D7_0210100
Pf3D7_02_v3,421462,412977,-,PF3D7_0210200
Pf3D7_02_v3,424788,422762,-,PF3D7_0210300
Pf3D7_02_v3,425655,426898,+,PF3D7_0210400
Pf3D7_02_v3,427298,431931,+,PF3D7_0210500
Pf3D7_02_v3,434449,432040,-,PF3D7_0210600
