Chr,Start,End,Strand,ID
Pf3D7_01_v3,34769,35559,-,Pf3D7lncRNA_0001
Pf3D7_01_v3,35650,37480,+,Pf3D7lncRNA_0002
Pf3D7_01_v3,36755,37873,-,Pf3D7lncRNA_0003
Pf3D7_01_v3,37714,38533,+,Pf3D7lncRNA_0004
Pf3D7_01_v3,50264,52333,-,Pf3D7lncRNA_0005
Pf3D7_01_v3,52958,55243,+,Pf3D7lncRNA_0006
Pf3D7_01_v3,79385,80652,-,Pf3D7lncRNA_0007
Pf3D7_01_v3,80752,81178,+,Pf3D7lncRNA_0008
Pf3D7_01_v3,96107,96323,-,Pf3D7lncRNA_0009
Pf3D7_01_v3,97137,97571,-,Pf3D7lncRNA_0010
Pf3D7_01_v3,102527,103846,-,Pf3D7lncRNA_0011
Pf3D7_01_v3,110148,111382,+,Pf3D7lncRNA_0012
Pf3D7_01_v3,111723,112009,+,Pf3D7lncRNA_0013
Pf3D7_01_v3,118481,118720,+,Pf3D7lncRNA_0014
Pf3D7_01_v3,122955,123291,+,Pf3D7lncRNA_0015
Pf3D7_01_v3,139571,143564,+,Pf3D7lncRNA_0016
Pf3D7_01_v3,177023,177331,-,Pf3D7lncRNA_0017
Pf3D7_01_v3,181020,182140,-,Pf3D7lncRNA_0018
Pf3D7_01_v3,185377,186081,-,Pf3D7lncRNA_0019
Pf3D7_01_v3,185921,186656,+,Pf3D7lncRNA_0020
Pf3D7_01_v3,187199,188722,-,Pf3D7lncRNA_0021
Pf3D7_01_v3,200368,201357,-,Pf3D7lncRNA_0022
Pf3D7_01_v3,213865,214631,+,Pf3D7lncRNA_0023
Pf3D7_01_v3,215113,220264,-,Pf3D7lncRNA_0024
Pf3D7_01_v3,226058,226581,+,Pf3D7lncRNA_0025
Pf3D7_01_v3,227820,229292,+,Pf3D7lncRNA_0026
Pf3D7_01_v3,235227,235501,+,Pf3D7lncRNA_0027
Pf3D7_01_v3,248312,250015,+,Pf3D7lncRNA_0028
Pf3D7_01_v3,259573,261650,+,Pf3D7lncRNA_0029
