chr	position	strand
Pf3D7_10_v3	14020	+
Pf3D7_04_v3	1189897	-
Pf3D7_12_v3	1178	+
Pf3D7_03_v3	1042560	-
Pf3D7_08_v3	12114	-
Pf3D7_03_v3	20544	-
Pf3D7_07_v3	1437095	+
Pf3D7_02_v3	927902	-
Pf3D7_02_v3	935948	+
Pf3D7_09_v3	1172	-
Pf3D7_03_v3	1043289	-
Pf3D7_03_v3	17999	+
Pf3D7_13_v3	12614	-
Pf3D7_01_v3	18832	-
Pf3D7_08_v3	1472291	+
Pf3D7_08_v3	17382	+
Pf3D7_03_v3	1050085	+
Pf3D7_07_v3	15337	+
Pf3D7_01_v3	618109	-
Pf3D7_10_v3	23669	-
Pf3D7_03_v3	13956	-
Pf3D7_03_v3	27434	+
Pf3D7_04_v3	26942	-
Pf3D7_12_v3	2265018	-
Pf3D7_10_v3	1684714	-
Pf3D7_13_v3	2894158	+
Pf3D7_09_v3	1510514	+
Pf3D7_09_v3	1527662	-
Pf3D7_07_v3	10591	-
Pf3D7_12_v3	2252299	+
Pf3D7_07_v3	1440074	-
Pf3D7_04_v3	1182178	-
Pf3D7_09_v3	1541388	-
Pf3D7_08_v3	3183	+
Pf3D7_02_v3	10802	-
Pf3D7_05_v3	1343480	+
Pf3D7_04_v3	14269	-
Pf3D7_12_v3	12088	+
Pf3D7_05_v3	14174	+
Pf3D7_11_v3	22124	-
Pf3D7_06_v3	1399576	-
Pf3D7_10_v3	1686881	-
Pf3D7_02_v3	936104	-
Pf3D7_13_v3	18263	-
Pf3D7_07_v3	14354	-
Pf3D7_03_v3	1042966	+
Pf3D7_03_v3	1057694	-
Pf3D7_03_v3	1064464	+
Pf3D7_05_v3	2586	-
Pf3D7_10_v3	23155	+
Pf3D7_13_v3	2897150	+
Pf3D7_09_v3	1536883	-
Pf3D7_08_v3	16054	+
Pf3D7_06_v3	1388702	-
Pf3D7_11_v3	16940	+
Pf3D7_12_v3	1898	+
Pf3D7_04_v3	15767	-
Pf3D7_13_v3	2922844	-
Pf3D7_06_v3	1390592	-
Pf3D7_10_v3	1657180	-
Pf3D7_13_v3	2907117	-
Pf3D7_10_v3	10178	+
Pf3D7_02_v3	925445	-
Pf3D7_08_v3	1457292	+
Pf3D7_02_v3	6294	+
Pf3D7_10_v3	1655358	+
Pf3D7_04_v3	7662	+
Pf3D7_10_v3	570	+
Pf3D7_13_v3	18708	-
Pf3D7_03_v3	35881	+
Pf3D7_05_v3	1343282	-
Pf3D7_09_v3	1537093	-
Pf3D7_06_v3	1399485	+
Pf3D7_03_v3	32930	+
Pf3D7_01_v3	4975	-
Pf3D7_06_v3	1393329	-
Pf3D7_09_v3	1531942	+
Pf3D7_08_v3	1450566	-
Pf3D7_02_v3	943086	+
Pf3D7_06_v3	1398249	-
Pf3D7_05_v3	8136	+
Pf3D7_03_v3	1052206	-
Pf3D7_10_v3	22030	+
Pf3D7_04_v3	156	+
Pf3D7_08_v3	15276	+
Pf3D7_13_v3	15932	+
Pf3D7_08_v3	16710	+
Pf3D7_09_v3	19156	+
Pf3D7_01_v3	635376	+
Pf3D7_03_v3	19083	-
Pf3D7_02_v3	11303	-
Pf3D7_10_v3	1665090	-
Pf3D7_11_v3	19288	+
Pf3D7_03_v3	14176	+
Pf3D7_03_v3	20669	+
Pf3D7_04_v3	2667	+
Pf3D7_08_v3	1453338	+
Pf3D7_09_v3	5116	-
Pf3D7_09_v3	1520469	+
Pf3D7_12_v3	2260629	+
Pf3D7_04_v3	19888	-
Pf3D7_09_v3	1520350	-
Pf3D7_08_v3	1448576	+
Pf3D7_04_v3	15129	+
Pf3D7_12_v3	2250863	-
Pf3D7_02_v3	20589	+
Pf3D7_10_v3	21276	-
Pf3D7_10_v3	6219	+
Pf3D7_13_v3	5382	+
Pf3D7_08_v3	563	+
Pf3D7_04_v3	10115	+
Pf3D7_11_v3	892	+
Pf3D7_10_v3	1685308	+
Pf3D7_07_v3	1429427	-
Pf3D7_10_v3	1675091	-
Pf3D7_03_v3	1055585	+
Pf3D7_08_v3	1451044	-
Pf3D7_12_v3	13134	-
Pf3D7_04_v3	3023	+
Pf3D7_07_v3	17374	+
Pf3D7_13_v3	2917084	+
Pf3D7_10_v3	1674196	+
Pf3D7_12_v3	2268868	-
Pf3D7_05_v3	8121	+
Pf3D7_13_v3	2902682	+
Pf3D7_02_v3	927858	+
Pf3D7_08_v3	18811	+
Pf3D7_07_v3	7865	+
Pf3D7_10_v3	1681363	+
Pf3D7_12_v3	2256924	+
Pf3D7_10_v3	26368	+
Pf3D7_09_v3	16722	-
Pf3D7_06_v3	1394146	-
Pf3D7_07_v3	1435852	-
Pf3D7_07_v3	1441453	-
Pf3D7_01_v3	6500	-
Pf3D7_07_v3	1427413	+
Pf3D7_12_v3	4694	+
Pf3D7_10_v3	16307	+
Pf3D7_10_v3	1655802	-
Pf3D7_05_v3	6716	+
Pf3D7_08_v3	18693	-
Pf3D7_01_v3	2158	-
Pf3D7_05_v3	1015	+
Pf3D7_07_v3	8304	-
Pf3D7_03_v3	1039503	+
Pf3D7_01_v3	800	+
Pf3D7_09_v3	1510982	-
Pf3D7_06_v3	1386980	+
Pf3D7_06_v3	1411657	-
Pf3D7_03_v3	1042671	+
Pf3D7_08_v3	10653	+
Pf3D7_06_v3	1407980	-
