seqnames,start,end,width,strand,score,dominant_ctss.seqnames,dominant_ctss.pos,dominant_ctss.strand,dominant_ctss.score,nr_ctss,annotation,genes,q_0.1,q_0.9,interquantile_width
Pf3D7_04_v3,93230,93234,5,+,58.1916922654749,Pf3D7_04_v3,93233,+,21.2615935689763,5,unknown,,1,5,5
Pf3D7_04_v3,94173,94175,3,+,191.21023022123,Pf3D7_04_v3,94174,+,112.020766916514,3,unknown,,2,3,2
Pf3D7_04_v3,105940,105982,43,+,33.6643371422323,Pf3D7_04_v3,105940,+,21.4246364322072,4,unknown,,1,42,42
Pf3D7_04_v3,116000,116037,38,+,30.3287442434275,Pf3D7_04_v3,116037,+,16.6800622691313,3,unknown,,1,38,38
Pf3D7_04_v3,125202,125209,8,+,39.3566078220033,Pf3D7_04_v3,125205,+,13.9604517899465,7,unknown,,3,7,5
Pf3D7_04_v3,131707,131708,2,+,23.2612725679627,Pf3D7_04_v3,131707,+,12.7535258906097,2,unknown,,1,2,2
Pf3D7_04_v3,332583,332592,10,+,53.0812199967777,Pf3D7_04_v3,332584,+,21.1656182742867,6,unknown,PF3D7_0406400,1,9,9
Pf3D7_04_v3,365939,365980,42,+,208.653025810665,Pf3D7_04_v3,365956,+,26.2382508145175,21,unknown,,5,30,26
Pf3D7_04_v3,394413,394511,99,+,113.397352880591,Pf3D7_04_v3,394505,+,24.6037737618858,13,unknown,,3,98,96
Pf3D7_04_v3,400235,400273,39,+,103.912819726974,Pf3D7_04_v3,400247,+,23.2522359043868,11,unknown,PF3D7_0408100,12,31,20
Pf3D7_04_v3,410928,410936,9,+,207.674907376422,Pf3D7_04_v3,410933,+,85.6116408936839,8,unknown,,3,8,6
Pf3D7_04_v3,495275,495321,47,+,55.94749555828,Pf3D7_04_v3,495320,+,15.1163940343884,9,unknown,,2,46,45
Pf3D7_04_v3,626129,626172,44,+,133.958829816852,Pf3D7_04_v3,626129,+,69.3692102003397,6,unknown,,1,43,43
Pf3D7_04_v3,698760,698761,2,+,71.5231713924084,Pf3D7_04_v3,698761,+,65.8777972648182,2,unknown,,2,2,1
Pf3D7_04_v3,1026435,1026534,100,+,1089.28946681345,Pf3D7_04_v3,1026487,+,56.9163809498718,53,unknown,,22,92,71
Pf3D7_04_v3,1052999,1052999,1,+,8.41680708465084,Pf3D7_04_v3,1052999,+,8.41680708465084,1,unknown,,1,1,1
Pf3D7_04_v3,1071799,1071852,54,+,107.48030795119,Pf3D7_04_v3,1071834,+,14.5062692148031,15,unknown,,2,53,52
Pf3D7_04_v3,1075966,1076016,51,+,197.680396611431,Pf3D7_04_v3,1075978,+,31.8193046026996,17,unknown,,3,16,14
Pf3D7_04_v3,1084271,1084274,4,+,129.529944886281,Pf3D7_04_v3,1084273,+,56.870321558571,4,unknown,,2,4,3
Pf3D7_04_v3,1114444,1114467,24,+,151.273016863302,Pf3D7_04_v3,1114467,+,82.8546891711666,7,unknown,,4,24,21
Pf3D7_04_v3,1114799,1114802,4,+,28.4440307736453,Pf3D7_04_v3,1114799,+,19.9369019850923,3,unknown,,1,4,4
Pf3D7_04_v3,1117838,1117943,106,+,612.647394020603,Pf3D7_04_v3,1117896,+,28.1302783625379,61,unknown,,6,94,89
Pf3D7_04_v3,38744,38748,5,-,38.2924768848112,Pf3D7_04_v3,38746,-,15.5367573356328,5,unknown,,1,4,4
Pf3D7_04_v3,94270,94344,75,-,263.831467954752,Pf3D7_04_v3,94318,-,28.5600424976503,32,unknown,,3,50,48
Pf3D7_04_v3,332951,332999,49,-,94.5680858425886,Pf3D7_04_v3,332998,-,17.8401503287937,10,unknown,,32,49,18
Pf3D7_04_v3,366145,366147,3,-,77.22381679388,Pf3D7_04_v3,366146,-,46.9953830769062,3,unknown,,1,3,3
Pf3D7_04_v3,400382,400389,8,-,122.007989058026,Pf3D7_04_v3,400386,-,36.9061707382095,7,unknown,,2,5,4
Pf3D7_04_v3,411060,411124,65,-,113.778338840821,Pf3D7_04_v3,411074,-,32.7206473186982,11,unknown,,2,65,64
Pf3D7_04_v3,626300,626316,17,-,142.508507933553,Pf3D7_04_v3,626315,-,32.5123196432467,10,unknown,,2,16,15
Pf3D7_04_v3,833842,833846,5,-,25.7143001131939,Pf3D7_04_v3,833843,-,14.4566809511039,4,unknown,,1,3,3
Pf3D7_04_v3,1026549,1026651,103,-,1347.95162479566,Pf3D7_04_v3,1026651,-,413.939065905714,19,unknown,,73,103,31
Pf3D7_04_v3,1026891,1026908,18,-,90.9669476508402,Pf3D7_04_v3,1026891,-,41.8673312122293,9,unknown,,1,8,8
Pf3D7_04_v3,1046482,1046544,63,-,68.7744681747074,Pf3D7_04_v3,1046498,-,19.8838535624826,9,unknown,,2,62,61
Pf3D7_04_v3,1055489,1055492,4,-,50.1086876165064,Pf3D7_04_v3,1055491,-,24.6947241983612,4,unknown,,1,4,4
Pf3D7_04_v3,1060540,1060559,20,-,31.9921151561856,Pf3D7_04_v3,1060558,-,16.7631465150142,3,unknown,,19,20,2
Pf3D7_04_v3,1076157,1076164,8,-,181.489878931469,Pf3D7_04_v3,1076159,-,38.6764250172168,8,unknown,,2,8,7
Pf3D7_04_v3,1076478,1076478,1,-,12.831888790454,Pf3D7_04_v3,1076478,-,12.831888790454,1,unknown,,1,1,1
Pf3D7_04_v3,1117185,1117186,2,-,30.9559405250592,Pf3D7_04_v3,1117186,-,22.5700005043555,2,unknown,,1,2,2
Pf3D7_04_v3,1117956,1118054,99,-,458.697695854082,Pf3D7_04_v3,1118034,-,81.172378915306,19,unknown,,78,97,20
Pf3D7_05_v3,62286,62291,6,+,22.4538145721232,Pf3D7_05_v3,62291,+,16.3091564161099,3,unknown,,1,6,6
Pf3D7_05_v3,82619,82624,6,+,124.375243015226,Pf3D7_05_v3,82620,+,47.42654387364,6,unknown,,1,6,6
Pf3D7_05_v3,84373,84438,66,+,51.5510055111784,Pf3D7_05_v3,84374,+,15.1012364587192,6,unknown,,2,66,65
Pf3D7_05_v3,140431,140453,23,+,131.866584535964,Pf3D7_05_v3,140435,+,23.6940978430817,13,unknown,,1,13,13
Pf3D7_05_v3,145756,145762,7,+,97.6640710845423,Pf3D7_05_v3,145761,+,37.8755990330904,7,unknown,,3,7,5
Pf3D7_05_v3,150308,150315,8,+,210.608791942118,Pf3D7_05_v3,150312,+,46.2942502304537,8,unknown,,2,7,6
Pf3D7_05_v3,152493,152503,11,+,165.958515003255,Pf3D7_05_v3,152496,+,31.4794024404498,10,unknown,,2,10,9
Pf3D7_05_v3,296500,296610,111,+,117.992313502636,Pf3D7_05_v3,296592,+,21.9660217617252,12,unknown,,3,94,92
