chr	start	end	strand	gene_id	dist_to_v48_tss	dist_to_v68_tss	dist_to_v48_tts	dist_to_v68_tts	v48_tss	v48_tts	v68_tss	v68_tts	pred_tss	pred_tts
Pf3D7_01_v3	38681.0	40208.0	-	PF3D7_0100200	-1.0	-1.0	1226.0	54.0	40207	38982	40207.0	40154.0	40208	38681
Pf3D7_01_v3	42066.0	46662.0	-	PF3D7_0100300	-155.0	-155.0	4295.0	2887.0	46507	42367	46507.0	43775.0	46662	42066
Pf3D7_01_v3	50308.0	51937.0	+	PF3D7_0100400	55.0	264.0	301.0	301.0	50363	51636	50572.0	51636.0	50308	51937
Pf3D7_01_v3	52768.0	53281.0	-	PF3D7_0100500	-1.0	-1.0	112.0	112.0	53280	53169	53280.0	53169.0	53281	52768
Pf3D7_01_v3	53577.0	55189.0	-	PF3D7_0100600	-183.0	-183.0	1411.0	251.0	55006	53778	55006.0	54938.0	55189	53577
Pf3D7_01_v3	56389.0	57171.0	-	PF3D7_0100700	-278.0	-278.0	481.0	481.0	56893	56690	56893.0	56690.0	57171	56389
Pf3D7_01_v3	59594.0	61204.0	+	PF3D7_0100800	178.0	429.0	201.0	201.0	59772	61003	60023.0	61003.0	59594	61204
Pf3D7_01_v3	61886.0	63616.0	-	PF3D7_0100900	-216.0	-216.0	1429.0	269.0	63400	62187	63400.0	63347.0	63616	61886
Pf3D7_01_v3	65516.0	67103.0	-	PF3D7_0101000	-114.0	-114.0	1286.0	185.0	66989	65817	66989.0	66918.0	67103	65516
Pf3D7_01_v3	68903.0	70823.0	-	PF3D7_0101100	-406.0	-406.0	1519.0	474.0	70417	69304	70417.0	70349.0	70823	68903
Pf3D7_01_v3	71318.0	72827.0	+	PF3D7_0101200	306.0	485.0	401.0	401.0	71624	72426	71803.0	72426.0	71318	72827
Pf3D7_01_v3	74327.0	75567.0	+	PF3D7_0101300	236.0	1040.0	201.0	-55.0	74563	75366	75367.0	75622.0	74327	75567
Pf3D7_01_v3	75681.0	76810.0	-	PF3D7_0101400	-1.0	-1.0	828.0	828.0	76809	75982	76809.0	75982.0	76810	75681
Pf3D7_01_v3	78010.0	80292.0	+	PF3D7_0101500	231.0	1516.0	401.0	401.0	78241	79891	79526.0	79891.0	78010	80292
Pf3D7_01_v3	81364.0	83107.0	-	PF3D7_0101600	-1.0	-1.0	1342.0	54.0	83106	81765	83106.0	83053.0	83107	81364
Pf3D7_01_v3	84390.0	86402.0	-	PF3D7_0101700	-250.0	-250.0	1611.0	522.0	86152	84791	86152.0	85880.0	86402	84390
Pf3D7_01_v3	86902.0	88241.0	-	PF3D7_0101800	-64.0	-64.0	1038.0	132.0	88177	87203	88177.0	88109.0	88241	86902
Pf3D7_01_v3	90041.0	91612.0	-	PF3D7_0101900	-192.0	-192.0	1370.0	260.0	91420	90242	91420.0	91352.0	91612	90041
Pf3D7_01_v3	92812.0	94149.0	-	PF3D7_0102000	-274.0	-274.0	1036.0	460.0	93875	93113	93875.0	93689.0	94149	92812
Pf3D7_01_v3	94776.0	96300.0	+	PF3D7_0102100	274.0	1037.0	401.0	401.0	95050	95899	95813.0	95899.0	94776	96300
Pf3D7_01_v3	98400.0	102683.0	+	PF3D7_0102200	419.0	3883.0	401.0	-932.0	98819	102282	102283.0	103615.0	98400	102683
Pf3D7_01_v3	104703.0	105610.0	+	PF3D7_0102300	1.0	507.0	401.0	-182.0	104704	105209	105210.0	105792.0	104703	105610
Pf3D7_01_v3	106796.0	108449.0	-	PF3D7_0102400	-101.0	-101.0	1252.0	1252.0	108348	107197	108348.0	107197.0	108449	106796
