chr	position	strand
Pf3D7_10_v3	1662479	-
Pf3D7_06_v3	1412766	-
Pf3D7_12_v3	574	-
Pf3D7_10_v3	12325	-
Pf3D7_02_v3	19422	+
Pf3D7_13_v3	2923760	+
Pf3D7_10_v3	1660042	+
Pf3D7_10_v3	1674775	-
Pf3D7_02_v3	4600	+
Pf3D7_06_v3	1387455	+
Pf3D7_05_v3	7111	+
Pf3D7_13_v3	18095	-
Pf3D7_09_v3	1530047	-
Pf3D7_11_v3	11409	-
Pf3D7_06_v3	1393268	-
Pf3D7_03_v3	5113	+
Pf3D7_08_v3	1452011	+
Pf3D7_01_v3	619543	+
Pf3D7_11_v3	4363	-
Pf3D7_09_v3	1529974	-
Pf3D7_10_v3	1655663	+
Pf3D7_04_v3	1181958	+
Pf3D7_13_v3	2910867	+
Pf3D7_12_v3	2255924	-
Pf3D7_10_v3	1667542	+
Pf3D7_03_v3	5046	-
Pf3D7_07_v3	4114	+
Pf3D7_01_v3	12674	-
Pf3D7_02_v3	940047	-
Pf3D7_09_v3	1519691	+
Pf3D7_10_v3	1670751	-
Pf3D7_13_v3	2910225	-
Pf3D7_04_v3	1186267	-
Pf3D7_05_v3	5633	-
Pf3D7_07_v3	8341	+
Pf3D7_03_v3	1157	+
Pf3D7_02_v3	16620	-
Pf3D7_07_v3	12037	+
Pf3D7_03_v3	11050	+
Pf3D7_09_v3	1518162	+
Pf3D7_06_v3	1394866	+
Pf3D7_11_v3	15188	+
Pf3D7_10_v3	20976	+
Pf3D7_04_v3	3017	-
Pf3D7_11_v3	9638	-
Pf3D7_11_v3	322	+
Pf3D7_05_v3	9110	+
Pf3D7_04_v3	6892	-
Pf3D7_09_v3	1516734	+
Pf3D7_02_v3	934733	+
Pf3D7_03_v3	11685	+
Pf3D7_01_v3	11324	+
Pf3D7_10_v3	1678979	+
Pf3D7_09_v3	1534595	+
Pf3D7_10_v3	162	-
Pf3D7_10_v3	1664706	-
Pf3D7_07_v3	16592	+
Pf3D7_08_v3	1459416	-
Pf3D7_02_v3	929014	-
Pf3D7_02_v3	14392	+
Pf3D7_09_v3	1509550	+
Pf3D7_07_v3	428	-
Pf3D7_08_v3	1462324	+
Pf3D7_10_v3	1669770	+
Pf3D7_09_v3	1532570	+
Pf3D7_08_v3	1454123	+
Pf3D7_08_v3	1468650	+
Pf3D7_04_v3	11694	+
Pf3D7_01_v3	21207	+
Pf3D7_06_v3	1386912	-
Pf3D7_03_v3	3507	+
Pf3D7_06_v3	1410680	-
Pf3D7_12_v3	13553	-
Pf3D7_03_v3	1066310	-
Pf3D7_01_v3	623867	-
Pf3D7_04_v3	619	+
Pf3D7_04_v3	27200	+
Pf3D7_09_v3	1526731	+
Pf3D7_08_v3	1451336	-
Pf3D7_10_v3	1678945	-
Pf3D7_09_v3	1538118	-
Pf3D7_06_v3	1393337	+
Pf3D7_11_v3	17948	+
Pf3D7_02_v3	942267	-
Pf3D7_01_v3	14416	-
Pf3D7_01_v3	631606	-
Pf3D7_10_v3	7442	+
Pf3D7_07_v3	18204	+
Pf3D7_02_v3	946718	+
Pf3D7_07_v3	1444861	-
Pf3D7_02_v3	941119	+
Pf3D7_10_v3	1170	-
Pf3D7_06_v3	1396181	+
Pf3D7_05_v3	8963	+
Pf3D7_04_v3	26643	+
Pf3D7_09_v3	10514	-
Pf3D7_05_v3	10801	-
Pf3D7_01_v3	619394	-
Pf3D7_02_v3	19247	-
Pf3D7_13_v3	2904398	+
Pf3D7_12_v3	2251675	+
Pf3D7_10_v3	27269	-
Pf3D7_03_v3	1044614	+
Pf3D7_13_v3	2894349	+
Pf3D7_10_v3	1653639	-
Pf3D7_10_v3	12494	-
Pf3D7_06_v3	1387003	+
Pf3D7_03_v3	1063434	-
Pf3D7_02_v3	12426	-
Pf3D7_12_v3	2256739	-
Pf3D7_07_v3	62	-
Pf3D7_03_v3	17318	+
Pf3D7_04_v3	4200	+
Pf3D7_08_v3	1472179	-
Pf3D7_03_v3	10507	+
Pf3D7_12_v3	7717	+
Pf3D7_10_v3	1651454	-
Pf3D7_10_v3	3615	+
Pf3D7_06_v3	1390645	-
Pf3D7_09_v3	995	+
Pf3D7_08_v3	1464992	+
Pf3D7_09_v3	1539681	-
Pf3D7_01_v3	640483	-
Pf3D7_06_v3	1392676	+
Pf3D7_01_v3	22664	+
Pf3D7_07_v3	1436169	+
Pf3D7_04_v3	1181929	+
Pf3D7_02_v3	926406	-
Pf3D7_02_v3	13283	+
Pf3D7_08_v3	1456370	+
Pf3D7_03_v3	303	+
Pf3D7_13_v3	19016	+
Pf3D7_08_v3	1465116	-
Pf3D7_04_v3	1190810	+
Pf3D7_08_v3	1472435	-
Pf3D7_01_v3	27905	+
Pf3D7_13_v3	2924419	+
Pf3D7_07_v3	5071	-
Pf3D7_10_v3	1683263	+
Pf3D7_01_v3	628392	+
Pf3D7_07_v3	1440214	+
Pf3D7_07_v3	1442647	+
Pf3D7_13_v3	3340	-
Pf3D7_08_v3	1457072	-
Pf3D7_07_v3	2526	+
Pf3D7_03_v3	1047193	-
Pf3D7_04_v3	1189081	-
Pf3D7_08_v3	17409	-
Pf3D7_06_v3	1413460	+
Pf3D7_01_v3	11204	-
Pf3D7_11_v3	7677	+
Pf3D7_12_v3	2261253	-
Pf3D7_02_v3	945097	-
Pf3D7_08_v3	1472136	+
Pf3D7_02_v3	5499	+
Pf3D7_09_v3	1511114	-
Pf3D7_04_v3	19618	+
Pf3D7_09_v3	1515440	-
Pf3D7_10_v3	5516	-
Pf3D7_10_v3	1651914	+
Pf3D7_02_v3	9778	+
Pf3D7_13_v3	8011	+
Pf3D7_03_v3	20324	+
Pf3D7_01_v3	5753	+
Pf3D7_08_v3	1464660	+
Pf3D7_05_v3	13698	-
Pf3D7_11_v3	10782	+
Pf3D7_11_v3	4229	-
Pf3D7_04_v3	14072	-
Pf3D7_13_v3	2915027	-
Pf3D7_04_v3	10346	-
Pf3D7_07_v3	1431784	+
Pf3D7_03_v3	1053740	-
Pf3D7_13_v3	7263	+
Pf3D7_02_v3	933458	+
Pf3D7_01_v3	10025	+
Pf3D7_06_v3	1393987	-
Pf3D7_13_v3	2916343	-
Pf3D7_12_v3	2259714	-
Pf3D7_10_v3	1667977	-
Pf3D7_12_v3	2263923	+
Pf3D7_12_v3	2257555	-
Pf3D7_08_v3	2056	+
Pf3D7_04_v3	23667	-
Pf3D7_10_v3	1652822	+
Pf3D7_09_v3	1525623	-
Pf3D7_05_v3	5355	+
Pf3D7_02_v3	5185	-
Pf3D7_10_v3	1652315	+
Pf3D7_03_v3	1065090	+
Pf3D7_13_v3	8775	-
Pf3D7_03_v3	1049014	+
Pf3D7_02_v3	17974	+
Pf3D7_11_v3	909	+
Pf3D7_02_v3	937191	+
Pf3D7_03_v3	17853	+
Pf3D7_09_v3	10638	-
Pf3D7_12_v3	2252374	+
Pf3D7_03_v3	34381	+
Pf3D7_04_v3	6620	+
