chr	tss_pos	tts_pos	strand	gene_id	dist_to_v48_tss	dist_to_v68_tss	dist_to_v48_tts	dist_to_v68_tts
Pf3D7_01_v3	40208	38681	-	PF3D7_0100200	1		301	
Pf3D7_01_v3	40208	38681	-	PF3D7_0100200	1		301	
Pf3D7_01_v3	40208	38681	-	PF3D7_0100200	1		301	
Pf3D7_01_v3	40208	38681	-	PF3D7_0100200	1		301	
Pf3D7_01_v3	46662	42066	-	PF3D7_0100300	155		301	
Pf3D7_01_v3	46662	42066	-	PF3D7_0100300	155		301	
Pf3D7_01_v3	46662	42066	-	PF3D7_0100300	155		301	
Pf3D7_01_v3	46662	42066	-	PF3D7_0100300	155		301	
Pf3D7_01_v3	50308	51937	+	PF3D7_0100400	55		301	
Pf3D7_01_v3	50308	51937	+	PF3D7_0100400	55		301	
Pf3D7_01_v3	50308	51937	+	PF3D7_0100400	55		301	
Pf3D7_01_v3	50308	51937	+	PF3D7_0100400	55		301	
Pf3D7_01_v3	53281	52768	-	PF3D7_0100500	1		401	
Pf3D7_01_v3	53281	52768	-	PF3D7_0100500	1		401	
Pf3D7_01_v3	53281	52768	-	PF3D7_0100500	1		401	
Pf3D7_01_v3	53281	52768	-	PF3D7_0100500	1		401	
Pf3D7_01_v3	55189	53577	-	PF3D7_0100600	183		201	
Pf3D7_01_v3	55189	53577	-	PF3D7_0100600	183		201	
Pf3D7_01_v3	55189	53577	-	PF3D7_0100600	183		201	
Pf3D7_01_v3	55189	53577	-	PF3D7_0100600	183		201	
Pf3D7_01_v3	57171	56389	-	PF3D7_0100700	278		301	
Pf3D7_01_v3	57171	56389	-	PF3D7_0100700	278		301	
Pf3D7_01_v3	57171	56389	-	PF3D7_0100700	278		301	
Pf3D7_01_v3	57171	56389	-	PF3D7_0100700	278		301	
Pf3D7_01_v3	59594	61204	+	PF3D7_0100800	178		201	
Pf3D7_01_v3	59594	61204	+	PF3D7_0100800	178		201	
Pf3D7_01_v3	59594	61204	+	PF3D7_0100800	178		201	
Pf3D7_01_v3	59594	61204	+	PF3D7_0100800	178		201	
Pf3D7_01_v3	63616	61886	-	PF3D7_0100900	216		301	
Pf3D7_01_v3	63616	61886	-	PF3D7_0100900	216		301	
Pf3D7_01_v3	63616	61886	-	PF3D7_0100900	216		301	
Pf3D7_01_v3	63616	61886	-	PF3D7_0100900	216		301	
Pf3D7_01_v3	67103	65516	-	PF3D7_0101000	114		301	
Pf3D7_01_v3	67103	65516	-	PF3D7_0101000	114		301	
Pf3D7_01_v3	67103	65516	-	PF3D7_0101000	114		301	
Pf3D7_01_v3	67103	65516	-	PF3D7_0101000	114		301	
Pf3D7_01_v3	70823	68903	-	PF3D7_0101100	406		401	
Pf3D7_01_v3	70823	68903	-	PF3D7_0101100	406		401	
Pf3D7_01_v3	70823	68903	-	PF3D7_0101100	406		401	
Pf3D7_01_v3	70823	68903	-	PF3D7_0101100	406		401	
Pf3D7_01_v3	71318	72827	+	PF3D7_0101200	306		401	
Pf3D7_01_v3	71318	72827	+	PF3D7_0101200	306		401	
Pf3D7_01_v3	71318	72827	+	PF3D7_0101200	306		401	
Pf3D7_01_v3	71318	72827	+	PF3D7_0101200	306		401	
Pf3D7_01_v3	74327	75567	+	PF3D7_0101300	236		201	
